snr_gt,snr_raw,snr_denoised,frequency_hz_true,frequency_hz_raw,frequency_hz_denoised,frequency_hz_signal,amplitude_true,amplitude_raw,amplitude_denoised,amplitude_signal
1.7974057e+25,0.9055375,0.9124137,310000.0,151467.4,149824.06,149824.05,18.959988,10.343467,8.540146,8.540153
1.7974057e+25,0.8929267,0.89946914,310000.0,151467.42,149824.03,149824.03,18.959988,10.343457,8.5401535,8.5401535
1.7974057e+25,0.93072474,0.9381385,310000.0,151467.4,149824.06,149824.05,18.959988,10.343505,8.540149,8.5401535
1.7974057e+25,0.9409382,0.9473168,310000.0,151467.39,149824.06,149824.03,18.959988,10.34341,8.540151,8.540153
1.7974057e+25,0.8956532,0.9021851,310000.0,151467.45,149824.05,149824.05,18.959988,10.343457,8.540149,8.5401535
1.7974057e+25,0.91381377,0.9187647,310000.0,151467.42,149824.06,149824.06,18.959988,10.343474,8.540148,8.5401535
1.7974057e+25,0.8974831,0.90345365,310000.0,151467.34,149824.05,149824.05,18.959988,10.343511,8.54015,8.5401535
1.7974057e+25,0.91957116,0.92537653,310000.0,151467.38,149824.06,149824.06,18.959988,10.343284,8.540149,8.5401535
1.7974057e+25,0.9280569,0.93482864,310000.0,151467.4,149824.05,149824.05,18.959988,10.3434725,8.540148,8.5401535
1.7974057e+25,0.92530245,0.9326663,310000.0,151467.39,149824.06,149824.03,18.959988,10.34345,8.540147,8.5401535
1.7974057e+25,0.95581895,0.9614574,310000.0,151467.38,149824.05,149824.06,18.959988,10.343337,8.54015,8.5401535
1.7974057e+25,0.88392866,0.89013094,310000.0,151467.36,149824.06,149824.05,18.959988,10.343078,8.540152,8.540153
1.7974057e+25,0.919553,0.9243426,310000.0,151467.39,149824.08,149824.05,18.959988,10.34337,8.540151,8.5401535
1.7974057e+25,0.93161136,0.93914694,310000.0,151467.39,149824.06,149824.05,18.959988,10.343481,8.540152,8.5401535
1.7974057e+25,0.9197804,0.9272512,310000.0,151467.33,149824.03,149824.05,18.959988,10.343107,8.540149,8.5401535
1.7974057e+25,0.9504376,0.9556948,310000.0,151467.36,149824.05,149824.03,18.959988,10.343253,8.54015,8.5401535
1.7974057e+25,0.93463814,0.94063115,310000.0,151467.42,149824.05,149824.03,18.959988,10.343594,8.540148,8.5401535
1.7974057e+25,0.9209152,0.92829794,310000.0,151467.36,149824.05,149824.06,18.959988,10.343354,8.540149,8.5401535
1.7974057e+25,0.9165699,0.9233676,310000.0,151467.34,149824.05,149824.06,18.959988,10.343509,8.540153,8.5401535
1.7974057e+25,0.9358862,0.94088024,310000.0,151467.4,149824.03,149824.05,18.959988,10.343642,8.54015,8.5401535
1.7974057e+25,0.92305946,0.9286558,310000.0,151467.39,149824.05,149824.05,18.959988,10.343572,8.54015,8.5401535
1.7974057e+25,0.97130257,0.97470737,310000.0,151467.36,149824.05,149824.03,18.959988,10.343417,8.540148,8.540153
1.7974057e+25,0.9779419,0.9800968,310000.0,151467.4,149824.05,149824.05,18.959988,10.3433895,8.540151,8.5401535
1.7974057e+25,0.9518482,0.95684844,310000.0,151467.36,149824.05,149824.03,18.959988,10.343224,8.54015,8.540153
1.7974057e+25,0.93859804,0.941883,310000.0,151467.39,149824.06,149824.05,18.959988,10.343334,8.540152,8.540153
1.7974057e+25,0.90479773,0.9095163,310000.0,151467.36,149824.06,149824.06,18.959988,10.343423,8.54015,8.5401535
1.7974057e+25,0.92476654,0.92933685,310000.0,151467.38,149824.03,149824.05,18.959988,10.343421,8.540149,8.5401535
1.7974057e+25,0.9582496,0.9624371,310000.0,151467.38,149824.03,149824.05,18.959988,10.343321,8.54015,8.5401535
1.7974057e+25,0.9073047,0.91371286,310000.0,151467.38,149824.06,149824.05,18.959988,10.343138,8.540149,8.5401535
1.7974057e+25,0.9496824,0.95383626,310000.0,151467.34,149824.05,149824.05,18.959988,10.343318,8.54015,8.5401535
1.7974057e+25,0.96937984,0.97267395,310000.0,151467.42,149824.06,149824.06,18.959988,10.343431,8.54015,8.540153
1.7974057e+25,0.88779527,0.8935513,310000.0,151467.34,149824.06,149824.06,18.959988,10.343144,8.540149,8.5401535
1.7974057e+25,0.8913388,0.89621645,310000.0,151467.34,149824.05,149824.06,18.959988,10.343498,8.540151,8.5401535
1.7974057e+25,0.9279798,0.934503,310000.0,151467.4,149824.05,149824.06,18.959988,10.343434,8.540148,8.540153
1.7974057e+25,0.907739,0.9135173,310000.0,151467.36,149824.03,149824.03,18.959988,10.343254,8.540148,8.540153
1.7974057e+25,0.9485893,0.95166564,310000.0,151467.45,149824.05,149824.05,18.959988,10.343747,8.540152,8.5401535
