snr_gt,snr_raw,snr_denoised,frequency_hz_true,frequency_hz_raw,frequency_hz_denoised,frequency_hz_signal,amplitude_true,amplitude_raw,amplitude_denoised,amplitude_signal
1.7974057e+25,0.9055375,1.0015002,310000.0,151467.4,149824.05,149824.05,18.959988,10.343467,8.540151,8.540153
1.7974057e+25,0.8929267,1.0018427,310000.0,151467.42,149824.06,149824.03,18.959988,10.343457,8.54015,8.5401535
1.7974057e+25,0.93072474,1.0021508,310000.0,151467.4,149824.05,149824.05,18.959988,10.343505,8.540149,8.5401535
1.7974057e+25,0.9409382,1.0024937,310000.0,151467.39,149824.05,149824.03,18.959988,10.34341,8.540151,8.540153
1.7974057e+25,0.8956532,1.0014211,310000.0,151467.45,149824.05,149824.05,18.959988,10.343457,8.540149,8.5401535
1.7974057e+25,0.91381377,1.0024011,310000.0,151467.42,149824.05,149824.06,18.959988,10.343474,8.540148,8.5401535
1.7974057e+25,0.8974831,1.002271,310000.0,151467.34,149824.05,149824.05,18.959988,10.343511,8.540151,8.5401535
1.7974057e+25,0.91957116,1.0026104,310000.0,151467.38,149824.06,149824.06,18.959988,10.343284,8.54015,8.5401535
1.7974057e+25,0.9280569,1.0022883,310000.0,151467.4,149824.05,149824.05,18.959988,10.3434725,8.54015,8.5401535
1.7974057e+25,0.92530245,1.0018992,310000.0,151467.39,149824.06,149824.03,18.959988,10.34345,8.540151,8.5401535
1.7974057e+25,0.95581895,1.0035948,310000.0,151467.38,149824.05,149824.06,18.959988,10.343337,8.54015,8.5401535
1.7974057e+25,0.88392866,1.0012393,310000.0,151467.36,149824.06,149824.05,18.959988,10.343078,8.54015,8.540153
1.7974057e+25,0.919553,1.0031698,310000.0,151467.39,149824.05,149824.05,18.959988,10.34337,8.540149,8.5401535
1.7974057e+25,0.93161136,1.00197,310000.0,151467.39,149824.06,149824.05,18.959988,10.343481,8.54015,8.5401535
1.7974057e+25,0.9197804,1.0018448,310000.0,151467.33,149824.06,149824.05,18.959988,10.343107,8.540151,8.5401535
1.7974057e+25,0.9504376,1.0032985,310000.0,151467.36,149824.05,149824.03,18.959988,10.343253,8.540151,8.5401535
1.7974057e+25,0.93463814,1.0031865,310000.0,151467.42,149824.05,149824.03,18.959988,10.343594,8.54015,8.5401535
1.7974057e+25,0.9209152,1.0018891,310000.0,151467.36,149824.05,149824.06,18.959988,10.343354,8.54015,8.5401535
1.7974057e+25,0.9165699,1.0020658,310000.0,151467.34,149824.06,149824.06,18.959988,10.343509,8.540149,8.5401535
1.7974057e+25,0.9358862,1.0033934,310000.0,151467.4,149824.05,149824.05,18.959988,10.343642,8.54015,8.5401535
1.7974057e+25,0.92305946,1.0028089,310000.0,151467.39,149824.05,149824.05,18.959988,10.343572,8.54015,8.5401535
1.7974057e+25,0.97130257,1.0025909,310000.0,151467.36,149824.03,149824.03,18.959988,10.343417,8.54015,8.540153
1.7974057e+25,0.9779419,1.0016,310000.0,151467.4,149824.06,149824.05,18.959988,10.3433895,8.54015,8.5401535
1.7974057e+25,0.9518482,1.0031245,310000.0,151467.36,149824.06,149824.03,18.959988,10.343224,8.540149,8.540153
1.7974057e+25,0.93859804,1.0021619,310000.0,151467.39,149824.05,149824.05,18.959988,10.343334,8.54015,8.540153
1.7974057e+25,0.90479773,1.0028377,310000.0,151467.36,149824.05,149824.06,18.959988,10.343423,8.54015,8.5401535
1.7974057e+25,0.92476654,1.0035077,310000.0,151467.38,149824.06,149824.05,18.959988,10.343421,8.54015,8.5401535
1.7974057e+25,0.9582496,1.0030571,310000.0,151467.38,149824.05,149824.05,18.959988,10.343321,8.54015,8.5401535
1.7974057e+25,0.9073047,1.0020459,310000.0,151467.38,149824.08,149824.05,18.959988,10.343138,8.540149,8.5401535
1.7974057e+25,0.9496824,1.0032126,310000.0,151467.34,149824.05,149824.05,18.959988,10.343318,8.54015,8.5401535
1.7974057e+25,0.96937984,1.0024269,310000.0,151467.42,149824.08,149824.06,18.959988,10.343431,8.540151,8.540153
1.7974057e+25,0.88779527,1.002125,310000.0,151467.34,149824.05,149824.06,18.959988,10.343144,8.54015,8.5401535
1.7974057e+25,0.8913388,1.0025687,310000.0,151467.34,149824.06,149824.06,18.959988,10.343498,8.540149,8.5401535
1.7974057e+25,0.9279798,1.002443,310000.0,151467.4,149824.05,149824.06,18.959988,10.343434,8.540149,8.540153
1.7974057e+25,0.907739,1.0022106,310000.0,151467.36,149824.06,149824.03,18.959988,10.343254,8.54015,8.540153
1.7974057e+25,0.9485893,1.0025254,310000.0,151467.45,149824.06,149824.05,18.959988,10.343747,8.54015,8.5401535
1.7974057e+25,0.938696,1.0016636,310000.0,151467.39,149824.06,149824.05,18.959988,10.343365,8.540149,8.540153
1.7974057e+25,0.93866163,1.0027564,310000.0,151467.4,149824.08,149824.05,18.959988,10.343554,8.54015,8.5401535
1.7974057e+25,0.8977346,1.0024952,310000.0,151467.38,149824.03,149824.05,18.959988,10.343389,8.54015,8.540153
1.7974057e+25,0.95136064,1.0029079,310000.0,151467.36,149824.05,149824.05,18.959988,10.343054,8.54015,8.540153
1.7974057e+25,0.9835697,1.0020715,310000.0,151467.36,149824.05,149824.06,18.959988,10.343358,8.54015,8.540153
1.7974057e+25,0.95720965,1.0032467,310000.0,151467.42,149824.05,149824.05,18.959988,10.3435135,8.540151,8.540153
1.7974057e+25,0.9620827,1.0030218,310000.0,151467.38,149824.05,149824.06,18.959988,10.343434,8.540151,8.5401535
1.7974057e+25,0.9210787,1.003353,310000.0,151467.44,149824.06,149824.05,18.959988,10.34362,8.54015,8.540153
1.7974057e+25,0.9655834,1.0024562,310000.0,151467.36,149824.05,149824.06,18.959988,10.343485,8.54015,8.5401535
1.7974057e+25,0.92602175,1.0029968,310000.0,151467.36,149824.05,149824.05,18.959988,10.343367,8.54015,8.5401535
1.7974057e+25,0.88860005,1.00169,310000.0,151467.39,149824.06,149824.05,18.959988,10.34367,8.54015,8.540153
1.7974057e+25,0.97724813,1.0022864,310000.0,151467.36,149824.03,149824.05,18.959988,10.34341,8.54015,8.5401535
1.7974057e+25,0.9191335,1.0027043,310000.0,151467.38,149824.05,149824.06,18.959988,10.343387,8.540149,8.5401535
1.7974057e+25,0.90232944,1.0024586,310000.0,151467.39,149824.06,149824.05,18.959988,10.343495,8.540151,8.540152
1.7974057e+25,0.9063596,1.002306,310000.0,151467.39,149824.06,149824.05,18.959988,10.343387,8.54015,8.540153
1.7974057e+25,0.91517997,1.0018826,310000.0,151467.38,149824.05,149824.05,18.959988,10.3436165,8.540149,8.540153
1.7974057e+25,0.92123604,1.0033418,310000.0,151467.39,149824.05,149824.06,18.959988,10.343237,8.54015,8.5401535
1.7974057e+25,0.9392768,1.0032483,310000.0,151467.38,149824.06,149824.06,18.959988,10.343127,8.54015,8.540153
1.7974057e+25,0.9228718,1.0026466,310000.0,151467.36,149824.06,149824.06,18.959988,10.343261,8.54015,8.5401535
1.7974057e+25,0.9481209,1.0032603,310000.0,151467.38,149824.05,149824.06,18.959988,10.343397,8.54015,8.5401535
1.7974057e+25,0.90469074,1.0017955,310000.0,151467.4,149824.05,149824.06,18.959988,10.3435135,8.54015,8.540153
1.7974057e+25,0.91207045,1.0019716,310000.0,151467.42,149824.05,149824.06,18.959988,10.343639,8.540149,8.5401535
1.7974057e+25,0.9612111,1.0035361,310000.0,151467.38,149824.06,149824.06,18.959988,10.343141,8.54015,8.5401535
1.7974057e+25,0.93567634,1.0024939,310000.0,151467.39,149824.03,149824.06,18.959988,10.343405,8.54015,8.540153
1.7974057e+25,0.9374927,1.0033097,310000.0,151467.38,149824.06,149824.06,18.959988,10.343514,8.540149,8.540153
1.7974057e+25,0.9706929,1.0005101,310000.0,151467.36,149824.05,149824.08,18.959988,10.343386,8.54015,8.54015
1.7974057e+25,0.91354865,1.000445,310000.0,151467.38,149824.08,149824.05,18.959988,10.34355,8.54015,8.540151
1.7974057e+25,0.95358336,1.0004398,310000.0,151467.42,149824.06,149824.05,18.959988,10.343402,8.54015,8.54015
1.7974057e+25,0.9284942,1.0003111,310000.0,151467.36,149824.06,149824.05,18.959988,10.343232,8.54015,8.540151
1.7974057e+25,0.95629275,1.000549,310000.0,151467.39,149824.03,149824.06,18.959988,10.343469,8.540149,8.540151
1.7974057e+25,0.91229296,0.99978435,310000.0,151467.38,149824.08,149824.05,18.959988,10.343477,8.540151,8.54015
1.7974057e+25,0.9159234,0.9997959,310000.0,151467.36,149824.05,149824.05,18.959988,10.34308,8.54015,8.54015
