snr_gt,snr_raw,snr_denoised,frequency_hz_true,frequency_hz_raw,frequency_hz_denoised,frequency_hz_signal,amplitude_true,amplitude_raw,amplitude_denoised,amplitude_signal
1.7974057e+25,0.9055375,0.08330998,310000.0,151467.4,149824.05,149824.05,18.959988,10.343467,8.54014,8.540153
1.7974057e+25,0.8929267,0.09966649,310000.0,151467.42,149824.05,149824.03,18.959988,10.343457,8.540147,8.5401535
1.7974057e+25,0.93072474,0.08475178,310000.0,151467.4,149824.06,149824.05,18.959988,10.343505,8.540152,8.5401535
1.7974057e+25,0.9409382,0.089628145,310000.0,151467.39,149824.05,149824.03,18.959988,10.34341,8.540157,8.540153
1.7974057e+25,0.8956532,0.08522309,310000.0,151467.45,149824.06,149824.05,18.959988,10.343457,8.540153,8.5401535
1.7974057e+25,0.91381377,0.10449752,310000.0,151467.42,149824.05,149824.06,18.959988,10.343474,8.540162,8.5401535
1.7974057e+25,0.8974831,0.08988476,310000.0,151467.34,149824.05,149824.05,18.959988,10.343511,8.540156,8.5401535
1.7974057e+25,0.91957116,0.09788968,310000.0,151467.38,149824.06,149824.06,18.959988,10.343284,8.540154,8.5401535
1.7974057e+25,0.9280569,0.07974207,310000.0,151467.4,149824.06,149824.05,18.959988,10.3434725,8.540164,8.5401535
1.7974057e+25,0.92530245,0.08337904,310000.0,151467.39,149824.05,149824.03,18.959988,10.34345,8.540163,8.5401535
1.7974057e+25,0.95581895,0.09592693,310000.0,151467.38,149824.06,149824.06,18.959988,10.343337,8.54016,8.5401535
1.7974057e+25,0.88392866,0.09369626,310000.0,151467.36,149824.05,149824.05,18.959988,10.343078,8.540157,8.540153
1.7974057e+25,0.919553,0.11742063,310000.0,151467.39,149824.05,149824.05,18.959988,10.34337,8.540132,8.5401535
1.7974057e+25,0.93161136,0.0839208,310000.0,151467.39,149824.05,149824.05,18.959988,10.343481,8.540087,8.5401535
1.7974057e+25,0.9197804,0.08217673,310000.0,151467.33,149824.06,149824.05,18.959988,10.343107,8.540134,8.5401535
1.7974057e+25,0.9504376,0.10868963,310000.0,151467.36,149824.05,149824.03,18.959988,10.343253,8.540144,8.5401535
1.7974057e+25,0.93463814,0.09571896,310000.0,151467.42,149824.06,149824.03,18.959988,10.343594,8.540144,8.5401535
1.7974057e+25,0.9209152,0.082171336,310000.0,151467.36,149824.06,149824.06,18.959988,10.343354,8.540117,8.5401535
1.7974057e+25,0.9165699,0.08182267,310000.0,151467.34,149824.06,149824.06,18.959988,10.343509,8.540146,8.5401535
1.7974057e+25,0.9358862,0.10845276,310000.0,151467.4,149824.05,149824.05,18.959988,10.343642,8.540141,8.5401535
1.7974057e+25,0.92305946,0.09543265,310000.0,151467.39,149824.05,149824.05,18.959988,10.343572,8.540156,8.5401535
1.7974057e+25,0.97130257,0.1379259,310000.0,151467.36,149824.06,149824.03,18.959988,10.343417,8.540155,8.540153
1.7974057e+25,0.9779419,0.20139478,310000.0,151467.4,149824.08,149824.05,18.959988,10.3433895,8.540159,8.5401535
1.7974057e+25,0.9518482,0.113033965,310000.0,151467.36,149824.05,149824.03,18.959988,10.343224,8.540148,8.540153
1.7974057e+25,0.93859804,0.1558757,310000.0,151467.39,149824.03,149824.05,18.959988,10.343334,8.540128,8.540153
1.7974057e+25,0.90479773,0.110294655,310000.0,151467.36,149824.08,149824.06,18.959988,10.343423,8.540134,8.5401535
1.7974057e+25,0.92476654,0.11218108,310000.0,151467.38,149824.06,149824.05,18.959988,10.343421,8.540098,8.5401535
