snr_gt,snr_raw,snr_denoised,frequency_hz_true,frequency_hz_raw,frequency_hz_denoised,frequency_hz_signal,amplitude_true,amplitude_raw,amplitude_denoised,amplitude_signal
1.7974057e+25,0.9055375,1.0017352,310000.0,151467.4,149824.08,149824.05,18.959988,10.343467,8.540152,8.540153
1.7974057e+25,0.8929267,1.0016483,310000.0,151467.42,149824.06,149824.03,18.959988,10.343457,8.540152,8.5401535
1.7974057e+25,0.93072474,1.0017556,310000.0,151467.4,149824.03,149824.05,18.959988,10.343505,8.540152,8.5401535
1.7974057e+25,0.9409382,1.0016937,310000.0,151467.39,149824.06,149824.03,18.959988,10.34341,8.540151,8.540153
1.7974057e+25,0.8956532,1.0013671,310000.0,151467.45,149824.06,149824.05,18.959988,10.343457,8.540152,8.5401535
1.7974057e+25,0.91381377,1.001578,310000.0,151467.42,149824.05,149824.06,18.959988,10.343474,8.540151,8.5401535
1.7974057e+25,0.8974831,1.0008725,310000.0,151467.34,149824.05,149824.05,18.959988,10.343511,8.540151,8.5401535
1.7974057e+25,0.91957116,1.0017254,310000.0,151467.38,149824.03,149824.06,18.959988,10.343284,8.540151,8.5401535
1.7974057e+25,0.9280569,1.0016677,310000.0,151467.4,149824.05,149824.05,18.959988,10.3434725,8.540152,8.5401535
1.7974057e+25,0.92530245,1.0011233,310000.0,151467.39,149824.05,149824.03,18.959988,10.34345,8.540151,8.5401535
1.7974057e+25,0.95581895,1.0018544,310000.0,151467.38,149824.05,149824.06,18.959988,10.343337,8.540152,8.5401535
1.7974057e+25,0.88392866,1.0013319,310000.0,151467.36,149824.05,149824.05,18.959988,10.343078,8.540152,8.540153
1.7974057e+25,0.919553,1.0015799,310000.0,151467.39,149824.05,149824.05,18.959988,10.34337,8.540151,8.5401535
1.7974057e+25,0.93161136,1.0018243,310000.0,151467.39,149824.03,149824.05,18.959988,10.343481,8.540151,8.5401535
1.7974057e+25,0.9197804,1.0017407,310000.0,151467.33,149824.08,149824.05,18.959988,10.343107,8.540152,8.5401535
1.7974057e+25,0.9504376,1.0018305,310000.0,151467.36,149824.05,149824.03,18.959988,10.343253,8.540152,8.5401535
1.7974057e+25,0.93463814,1.0018251,310000.0,151467.42,149824.05,149824.03,18.959988,10.343594,8.540152,8.5401535
1.7974057e+25,0.9209152,1.0016778,310000.0,151467.36,149824.06,149824.06,18.959988,10.343354,8.540151,8.5401535
1.7974057e+25,0.9165699,1.0016178,310000.0,151467.34,149824.03,149824.06,18.959988,10.343509,8.540151,8.5401535
1.7974057e+25,0.9358862,1.0018142,310000.0,151467.4,149824.06,149824.05,18.959988,10.343642,8.540152,8.5401535
1.7974057e+25,0.92305946,1.0015867,310000.0,151467.39,149824.05,149824.05,18.959988,10.343572,8.540151,8.5401535
1.7974057e+25,0.97130257,1.0018966,310000.0,151467.36,149824.06,149824.03,18.959988,10.343417,8.540152,8.540153
1.7974057e+25,0.9779419,1.001918,310000.0,151467.4,149824.06,149824.05,18.959988,10.3433895,8.540151,8.5401535
1.7974057e+25,0.9518482,1.0017737,310000.0,151467.36,149824.03,149824.03,18.959988,10.343224,8.540152,8.540153
1.7974057e+25,0.93859804,1.0018834,310000.0,151467.39,149824.05,149824.05,18.959988,10.343334,8.540152,8.540153
1.7974057e+25,0.90479773,1.0015435,310000.0,151467.36,149824.05,149824.06,18.959988,10.343423,8.540151,8.5401535
1.7974057e+25,0.92476654,1.001772,310000.0,151467.38,149824.08,149824.05,18.959988,10.343421,8.540152,8.5401535
1.7974057e+25,0.9582496,1.0018847,310000.0,151467.38,149824.06,149824.05,18.959988,10.343321,8.540152,8.5401535
1.7974057e+25,0.9073047,1.0015755,310000.0,151467.38,149824.06,149824.05,18.959988,10.343138,8.540151,8.5401535
1.7974057e+25,0.9496824,1.0017228,310000.0,151467.34,149824.05,149824.05,18.959988,10.343318,8.54015,8.5401535
1.7974057e+25,0.96937984,1.0019425,310000.0,151467.42,149824.05,149824.06,18.959988,10.343431,8.540151,8.540153
1.7974057e+25,0.88779527,1.0018004,310000.0,151467.34,149824.06,149824.06,18.959988,10.343144,8.540152,8.5401535
1.7974057e+25,0.8913388,1.0012878,310000.0,151467.34,149824.03,149824.06,18.959988,10.343498,8.540151,8.5401535
1.7974057e+25,0.9279798,1.0017918,310000.0,151467.4,149824.06,149824.06,18.959988,10.343434,8.540151,8.540153
1.7974057e+25,0.907739,1.0018542,310000.0,151467.36,149824.06,149824.03,18.959988,10.343254,8.540151,8.540153
1.7974057e+25,0.9485893,1.0017644,310000.0,151467.45,149824.06,149824.05,18.959988,10.343747,8.540151,8.5401535
1.7974057e+25,0.938696,1.0018215,310000.0,151467.39,149824.03,149824.05,18.959988,10.343365,8.540151,8.540153
1.7974057e+25,0.93866163,1.0018935,310000.0,151467.4,149824.05,149824.05,18.959988,10.343554,8.540152,8.5401535
1.7974057e+25,0.8977346,1.0016148,310000.0,151467.38,149824.06,149824.05,18.959988,10.343389,8.540151,8.540153
1.7974057e+25,0.95136064,1.001912,310000.0,151467.36,149824.06,149824.05,18.959988,10.343054,8.540152,8.540153
1.7974057e+25,0.9835697,1.0019661,310000.0,151467.36,149824.05,149824.06,18.959988,10.343358,8.54015,8.540153
1.7974057e+25,0.95720965,1.0018758,310000.0,151467.42,149824.05,149824.05,18.959988,10.3435135,8.540152,8.540153
1.7974057e+25,0.9620827,1.0017788,310000.0,151467.38,149824.03,149824.06,18.959988,10.343434,8.540152,8.5401535
1.7974057e+25,0.9210787,1.0016766,310000.0,151467.44,149824.06,149824.05,18.959988,10.34362,8.540152,8.540153
1.7974057e+25,0.9655834,1.0018334,310000.0,151467.36,149824.03,149824.06,18.959988,10.343485,8.540152,8.5401535
1.7974057e+25,0.92602175,1.0018092,310000.0,151467.36,149824.05,149824.05,18.959988,10.343367,8.540152,8.5401535
1.7974057e+25,0.88860005,1.0015453,310000.0,151467.39,149824.06,149824.05,18.959988,10.34367,8.540152,8.540153
1.7974057e+25,0.97724813,1.0019321,310000.0,151467.36,149824.06,149824.05,18.959988,10.34341,8.540151,8.5401535
1.7974057e+25,0.9191335,1.0018064,310000.0,151467.38,149824.03,149824.06,18.959988,10.343387,8.540151,8.5401535
1.7974057e+25,0.90232944,1.0014292,310000.0,151467.39,149824.08,149824.05,18.959988,10.343495,8.540152,8.540152
1.7974057e+25,0.9063596,1.0016377,310000.0,151467.39,149824.05,149824.05,18.959988,10.343387,8.540151,8.540153
1.7974057e+25,0.91517997,1.0015666,310000.0,151467.38,149824.05,149824.05,18.959988,10.3436165,8.54015,8.540153
1.7974057e+25,0.92123604,1.0019362,310000.0,151467.39,149824.05,149824.06,18.959988,10.343237,8.540151,8.5401535
1.7974057e+25,0.9392768,1.0019007,310000.0,151467.38,149824.05,149824.06,18.959988,10.343127,8.540151,8.540153
1.7974057e+25,0.9228718,1.0017657,310000.0,151467.36,149824.06,149824.06,18.959988,10.343261,8.540152,8.5401535
1.7974057e+25,0.9481209,1.0019729,310000.0,151467.38,149824.06,149824.06,18.959988,10.343397,8.540152,8.5401535
1.7974057e+25,0.90469074,1.001651,310000.0,151467.4,149824.05,149824.06,18.959988,10.3435135,8.540152,8.540153
1.7974057e+25,0.91207045,1.0016953,310000.0,151467.42,149824.06,149824.06,18.959988,10.343639,8.540151,8.5401535
