snr_gt,snr_raw,snr_denoised,frequency_hz_true,frequency_hz_raw,frequency_hz_denoised,frequency_hz_signal,amplitude_true,amplitude_raw,amplitude_denoised,amplitude_signal
1.7974057e+25,0.9055375,0.6363913,310000.0,151467.4,149824.06,149824.05,18.959988,10.343467,8.540185,8.540153
1.7974057e+25,0.8929267,0.64317405,310000.0,151467.42,149824.05,149824.03,18.959988,10.343457,8.540186,8.5401535
1.7974057e+25,0.93072474,0.62438977,310000.0,151467.4,149824.06,149824.05,18.959988,10.343505,8.540185,8.5401535
1.7974057e+25,0.9409382,0.670641,310000.0,151467.39,149824.06,149824.03,18.959988,10.34341,8.540186,8.540153
1.7974057e+25,0.8956532,0.6244647,310000.0,151467.45,149824.05,149824.05,18.959988,10.343457,8.540185,8.5401535
1.7974057e+25,0.91381377,0.67137825,310000.0,151467.42,149824.03,149824.06,18.959988,10.343474,8.540186,8.5401535
1.7974057e+25,0.8974831,0.63748395,310000.0,151467.34,149824.05,149824.05,18.959988,10.343511,8.540185,8.5401535
1.7974057e+25,0.91957116,0.65415424,310000.0,151467.38,149824.05,149824.06,18.959988,10.343284,8.540186,8.5401535
1.7974057e+25,0.9280569,0.6553644,310000.0,151467.4,149824.05,149824.05,18.959988,10.3434725,8.540186,8.5401535
1.7974057e+25,0.92530245,0.66142434,310000.0,151467.39,149824.05,149824.03,18.959988,10.34345,8.540186,8.5401535
1.7974057e+25,0.95581895,0.66991407,310000.0,151467.38,149824.05,149824.06,18.959988,10.343337,8.540186,8.5401535
1.7974057e+25,0.88392866,0.62700826,310000.0,151467.36,149824.05,149824.05,18.959988,10.343078,8.540184,8.540153
1.7974057e+25,0.919553,0.6429755,310000.0,151467.39,149824.03,149824.05,18.959988,10.34337,8.540185,8.5401535
1.7974057e+25,0.93161136,0.6632357,310000.0,151467.39,149824.03,149824.05,18.959988,10.343481,8.540185,8.5401535
1.7974057e+25,0.9197804,0.6731363,310000.0,151467.33,149824.05,149824.05,18.959988,10.343107,8.540186,8.5401535
1.7974057e+25,0.9504376,0.64523965,310000.0,151467.36,149824.08,149824.03,18.959988,10.343253,8.540186,8.5401535
