snr_gt,snr_raw,snr_denoised,amplitude_true,amplitude_raw,amplitude_denoised,amplitude_signal,frequency_hz_true,frequency_hz_raw,frequency_hz_denoised,frequency_hz_signal,phase_rad_true,phase_rad_raw,phase_rad_denoised,phase_rad_signal
0.17864197,0.031492237,0.08644731,1.0738392,1.0100698,1.9272916,1.0777969,3.8559415,5.5732393,4.756559,3.9089546,2.5414557,3.557686,2.6134083,2.5223727
0.0844226,0.007367874,0.023039747,0.59904283,1.0103935,1.7984376,0.619197,7.432111,5.3741827,4.3382454,7.434448,2.2441943,3.1634388,2.149559,2.257924
0.13349514,0.016634738,0.047667578,1.243649,1.0101672,1.9205749,1.2145747,5.693845,5.593323,6.56686,5.7349496,0.8462982,2.9155264,5.4100275,0.89397657
0.08601155,0.0075290455,0.02775725,0.79235786,1.0271763,1.7207398,0.77611923,2.8301275,5.7080708,8.906185,2.8377872,3.0445719,3.5971277,4.3611765,3.042121
0.24562007,0.061156437,0.16237842,1.4584496,1.0210906,1.5013779,1.27021,8.889417,5.473526,8.053743,8.852982,2.1403117,3.321384,4.9999065,2.070452
0.12438171,0.017006416,0.048520334,0.52520466,1.0161604,1.548096,0.53105724,8.886419,5.2935023,5.646555,8.833885,4.0549026,3.3746552,5.052374,4.0583534
0.13564864,0.018042501,0.05921538,1.0644503,1.0096409,1.7164228,1.0259149,3.0906057,5.4391756,4.0071583,3.1262395,5.141581,3.087194,1.4570901,5.0368757
0.15115204,0.022295883,0.0718652,1.2037977,1.0052962,2.0034764,1.1982998,9.855691,5.2749767,4.357189,9.810924,1.3099765,3.1319506,3.071091,1.3322761
0.14142777,0.022406297,0.0753602,0.93083626,1.0230968,1.7200814,0.9415279,6.801035,5.5694685,6.0720816,6.8306217,2.5068567,3.5981476,3.6624918,2.481218
0.22384177,0.048317075,0.14376193,1.465273,1.0230043,1.8166823,1.3857635,4.657693,5.6039257,4.9534426,4.653659,1.2898626,3.528466,4.747283,1.2920281
0.14978307,0.02314029,0.06161079,0.79966414,1.003749,1.5759219,0.8637811,2.4356678,5.4046593,5.7343645,2.3972156,1.51451,3.191325,3.595862,1.529276
0.086203754,0.0069390917,0.025869336,0.5235437,1.0189146,1.9881268,0.5397432,9.580261,5.726671,7.7306404,9.583094,3.6576593,3.359499,2.8979423,3.6255999
0.13385938,0.017233124,0.055277135,1.1843839,0.99853855,1.8831794,1.1498303,5.662489,5.4867797,3.4708,5.639161,5.790342,2.8778298,1.8315299,5.6801043
