snr_gt,snr_raw,snr_denoised,amplitude_true,amplitude_raw,amplitude_denoised,amplitude_signal,frequency_hz_true,frequency_hz_raw,frequency_hz_denoised,frequency_hz_signal,phase_rad_true,phase_rad_raw,phase_rad_denoised,phase_rad_signal
0.17864197,0.031492237,1.204993,1.0738392,1.0100698,0.30063498,1.0777969,3.8559415,5.5732393,4.799957,3.9089546,2.5414557,3.557686,4.1940055,2.5223727
0.0844226,0.007367874,0.7810336,0.59904283,1.0103935,0.4046468,0.619197,7.432111,5.3741827,4.838458,7.434448,2.2441943,3.1634388,5.668725,2.257924
0.13349514,0.016634738,1.1128213,1.243649,1.0101672,0.5246872,1.2145747,5.693845,5.593323,6.0536556,5.7349496,0.8462982,2.9155264,0.9426347,0.89397657
0.08601155,0.0075290455,0.9940463,0.79235786,1.0271763,0.33622903,0.77611923,2.8301275,5.7080708,8.086754,2.8377872,3.0445719,3.5971277,4.888153,3.042121
0.24562007,0.061156437,1.5428364,1.4584496,1.0210906,0.59294045,1.27021,8.889417,5.473526,9.005518,8.852982,2.1403117,3.321384,1.4261097,2.070452
0.12438171,0.017006416,1.0011818,0.52520466,1.0161604,0.33824778,0.53105724,8.886419,5.2935023,6.4101667,8.833885,4.0549026,3.3746552,2.5138302,4.0583534
0.13564864,0.018042501,1.0959226,1.0644503,1.0096409,0.2670514,1.0259149,3.0906057,5.4391756,4.235058,3.1262395,5.141581,3.087194,1.9706942,5.0368757
0.15115204,0.022295883,0.99432814,1.2037977,1.0052962,0.43275857,1.1982998,9.855691,5.2749767,1.8875401,9.810924,1.3099765,3.1319506,1.3394401,1.3322761
0.14142777,0.022406297,1.376173,0.93083626,1.0230968,0.47164857,0.9415279,6.801035,5.5694685,6.957713,6.8306217,2.5068567,3.5981476,3.4854026,2.481218
0.22384177,0.048317075,1.5015845,1.465273,1.0230043,0.5251598,1.3857635,4.657693,5.6039257,4.4084597,4.653659,1.2898626,3.528466,5.46352,1.2920281
0.14978307,0.02314029,1.2224354,0.79966414,1.003749,0.4786594,0.8637811,2.4356678,5.4046593,2.4352763,2.3972156,1.51451,3.191325,5.2491093,1.529276
0.086203754,0.0069390917,0.93080175,0.5235437,1.0189146,0.39430505,0.5397432,9.580261,5.726671,8.157906,9.583094,3.6576593,3.359499,3.0143964,3.6255999
0.13385938,0.017233124,1.0421423,1.1843839,0.99853855,0.40595937,1.1498303,5.662489,5.4867797,3.4624927,5.639161,5.790342,2.8778298,1.1870632,5.6801043
0.1767723,0.030838473,1.2753159,1.0145509,0.99551445,0.91334414,1.0246034,8.380629,5.5105653,9.059102,8.372316,2.3601038,2.6916668,1.6444795,2.3086772
0.18389457,0.033229467,1.4725876,1.1083646,1.0086384,0.48491204,1.1272414,5.085358,5.4892135,5.1234345,5.1330347,3.0361211,2.967104,2.285582,3.0335953
0.15620214,0.023716418,1.0688457,1.052643,1.0219882,0.37024975,1.0769806,1.5328028,5.637928,3.3459687,1.5008361,1.6876518,3.323512,1.9380529,1.6645523
0.14827792,0.022009132,0.9479298,1.2199957,1.0038443,0.47554857,1.1824377,7.80484,5.319004,4.66367,7.8034973,0.5966287,2.9684062,4.303826,0.6953436
0.13671808,0.019961633,1.0655055,0.9734657,1.0160804,0.5327985,0.9967391,2.408162,5.4621263,1.7126472,2.4249334,3.7460413,3.1283026,2.7644908,3.7127335
0.07213984,0.00535342,0.95351326,0.568268,1.0138148,0.40542573,0.5846492,3.3089912,5.5956264,4.864016,3.3627982,0.27208176,3.0016055,1.1891605,0.23527431
0.06741712,0.0046598422,0.7723069,0.55775625,0.9995145,0.38441658,0.6138617,9.816241,5.5762153,2.886718,9.823946,0.57977027,2.8216746,1.4081389,0.54231906
0.063845605,0.0040810658,0.8539529,0.5301848,1.023888,0.42829108,0.5417253,9.173341,5.653237,5.6750817,9.128639,4.5965757,3.2210343,0.48336697,4.516771
0.23777266,0.051749118,1.9892923,1.4643229,0.9652977,1.0725439,1.3402553,4.0780478,5.211922,3.8155358,4.0971894,0.28477865,2.399224,0.66377234,0.28500867
0.19239253,0.04089126,0.99706674,1.4564835,1.0194957,0.38730687,1.3805933,1.4816298,5.528978,6.3672194,1.5707238,0.8706361,3.1503375,4.8210974,0.86848366
