snr_gt,snr_raw,snr_denoised,amplitude_true,amplitude_raw,amplitude_denoised,amplitude_signal,frequency_hz_true,frequency_hz_raw,frequency_hz_denoised,frequency_hz_signal,phase_rad_true,phase_rad_raw,phase_rad_denoised,phase_rad_signal
0.17864197,0.031492237,1.0984087,1.0738392,1.0100698,0.24503857,1.0777969,3.8559415,5.5732393,5.8738103,3.9089546,2.5414557,3.557686,4.1628532,2.5223727
0.0844226,0.007367874,1.0007358,0.59904283,1.0103935,0.37952393,0.619197,7.432111,5.3741827,5.766053,7.434448,2.2441943,3.1634388,4.983097,2.257924
0.13349514,0.016634738,1.196526,1.243649,1.0101672,0.5435474,1.2145747,5.693845,5.593323,5.7424445,5.7349496,0.8462982,2.9155264,1.2649484,0.89397657
0.08601155,0.0075290455,0.9997859,0.79235786,1.0271763,0.23478305,0.77611923,2.8301275,5.7080708,6.1466665,2.8377872,3.0445719,3.5971277,4.973211,3.042121
0.24562007,0.061156437,1.7261835,1.4584496,1.0210906,0.73122555,1.27021,8.889417,5.473526,8.92217,8.852982,2.1403117,3.321384,1.4163479,2.070452
0.12438171,0.017006416,0.9459488,0.52520466,1.0161604,0.40472913,0.53105724,8.886419,5.2935023,6.7613244,8.833885,4.0549026,3.3746552,1.6621225,4.0583534
0.13564864,0.018042501,1.0715189,1.0644503,1.0096409,0.2705887,1.0259149,3.0906057,5.4391756,4.5149875,3.1262395,5.141581,3.087194,1.7726038,5.0368757
0.15115204,0.022295883,1.0220907,1.2037977,1.0052962,0.3285274,1.1982998,9.855691,5.2749767,3.0218463,9.810924,1.3099765,3.1319506,1.5237097,1.3322761
0.14142777,0.022406297,1.2957739,0.93083626,1.0230968,0.47386587,0.9415279,6.801035,5.5694685,6.9880815,6.8306217,2.5068567,3.5981476,3.3390098,2.481218
0.22384177,0.048317075,1.3279811,1.465273,1.0230043,0.5651089,1.3857635,4.657693,5.6039257,3.8860705,4.653659,1.2898626,3.528466,5.05178,1.2920281
0.14978307,0.02314029,1.039759,0.79966414,1.003749,0.7439245,0.8637811,2.4356678,5.4046593,2.2127924,2.3972156,1.51451,3.191325,5.484811,1.529276
0.086203754,0.0069390917,0.94720805,0.5235437,1.0189146,0.29848653,0.5397432,9.580261,5.726671,6.6378946,9.583094,3.6576593,3.359499,3.3480682,3.6255999
0.13385938,0.017233124,1.111942,1.1843839,0.99853855,0.20428103,1.1498303,5.662489,5.4867797,4.522936,5.639161,5.790342,2.8778298,4.250768,5.6801043
0.1767723,0.030838473,1.108219,1.0145509,0.99551445,1.0256276,1.0246034,8.380629,5.5105653,9.178164,8.372316,2.3601038,2.6916668,1.4843414,2.3086772
0.18389457,0.033229467,1.5640385,1.1083646,1.0086384,0.5227169,1.1272414,5.085358,5.4892135,5.4395866,5.1330347,3.0361211,2.967104,2.1674342,3.0335953
0.15620214,0.023716418,1.06266,1.052643,1.0219882,0.33253306,1.0769806,1.5328028,5.637928,3.5931673,1.5008361,1.6876518,3.323512,1.9590516,1.6645523
0.14827792,0.022009132,0.98605585,1.2199957,1.0038443,0.42691672,1.1824377,7.80484,5.319004,4.57648,7.8034973,0.5966287,2.9684062,4.315322,0.6953436
0.13671808,0.019961633,1.0705495,0.9734657,1.0160804,0.5238272,0.9967391,2.408162,5.4621263,1.8034427,2.4249334,3.7460413,3.1283026,2.6195428,3.7127335
0.07213984,0.00535342,0.94906133,0.568268,1.0138148,0.33278465,0.5846492,3.3089912,5.5956264,5.2426577,3.3627982,0.27208176,3.0016055,2.0553126,0.23527431
0.06741712,0.0046598422,0.6462141,0.55775625,0.9995145,0.20386648,0.6138617,9.816241,5.5762153,5.5083694,9.823946,0.57977027,2.8216746,1.0540555,0.54231906
0.063845605,0.0040810658,0.9134267,0.5301848,1.023888,0.192069,0.5417253,9.173341,5.653237,5.4653697,9.128639,4.5965757,3.2210343,3.0159264,4.516771
0.23777266,0.051749118,2.0828373,1.4643229,0.9652977,0.9306162,1.3402553,4.0780478,5.211922,3.6293912,4.0971894,0.28477865,2.399224,0.79310036,0.28500867
0.19239253,0.04089126,0.9510654,1.4564835,1.0194957,0.49072897,1.3805933,1.4816298,5.528978,7.2715216,1.5707238,0.8706361,3.1503375,4.576702,0.86848366
0.13275135,0.017377159,1.0465891,0.8884323,1.0032827,0.42480356,0.9724975,2.2020853,5.400337,2.223186,2.2269,0.11788084,2.9268348,1.2808062,0.0024738312
0.19940522,0.037256993,1.0061032,1.1715602,1.0215739,0.52584434,1.1242689,3.1825366,5.6661,4.3397665,3.1716256,5.415853,3.5187745,2.659895,5.3553433
0.12862082,0.015015956,0.7224615,0.5529519,1.0207486,0.64351773,0.5984451,8.606263,5.4932218,8.999538,8.624474,6.040098,3.4380126,5.466852,5.9822865
0.14158313,0.020954734,1.0263464,1.206986,1.0054699,0.3664992,1.2534643,9.426365,5.47595,4.3562617,9.562797,5.6657276,3.0875106,0.9926076,5.5051975
0.19974089,0.039887577,0.92774224,0.95620984,0.99739313,0.38253796,0.94396067,5.930628,5.2549706,3.0506072,6.006661,2.621245,2.94875,2.6865072,2.5811467
0.11896219,0.01437825,1.0539781,0.99863076,1.0114347,0.44152045,0.9948586,6.357024,5.462767,6.763094,6.441241,2.1503775,3.12615,4.5082903,2.1024253
0.07833698,0.0065881815,0.92663574,0.60147464,1.0288129,0.23232996,0.6516671,2.1731606,5.646403,7.682642,2.3288324,0.07024779,3.3005002,4.266339,0.47332358
0.16236866,0.024226822,1.1934314,0.89078605,1.0020094,0.13680893,0.98336136,2.0200405,5.3728595,3.5375767,2.0737936,0.341186,3.185032,4.057316,0.35816073
0.084588,0.006756243,1.1225204,0.6826331,1.0023364,0.47599602,0.70942605,1.8997409,5.3415203,1.851481,1.8083222,5.6248574,2.9501631,2.3092587,5.559272
0.10987852,0.012149128,1.2419406,0.50648546,1.020585,0.50993335,0.5684577,2.9828417,5.6031995,3.6669223,2.8253698,5.9876385,3.074331,2.9256597,5.9590845
0.14535269,0.02235054,1.4305857,0.9129387,1.0193683,0.5836761,1.0104685,4.6851063,5.5806956,5.3965006,4.708687,4.1331167,3.3025603,1.1739334,4.0258656
0.13097066,0.017172502,0.6752393,0.6042094,1.0149204,0.6301472,0.70633596,3.0473177,5.4029512,3.875423,2.9638145,6.01077,3.5432825,4.555604,5.9527254
0.2187379,0.045254026,1.4408157,0.68536407,1.0118446,0.55495095,0.66250485,7.906849,5.5858803,8.192085,7.8489957,3.3182993,3.0814073,2.4418032,3.3466656
0.11632129,0.013922643,1.1254185,0.8076936,1.021485,0.4807952,0.8282389,7.051041,5.6646805,7.856256,7.098502,0.5091904,3.391651,2.8792467,0.5383215
0.11422386,0.013930683,1.2044467,0.9533255,1.010806,0.4005159,1.0517228,9.518758,5.374774,8.461094,9.479099,1.2505116,3.10963,1.2273259,1.2463099
0.082075305,0.0076122135,1.0478073,0.74080384,1.0087845,0.43916792,0.8107491,8.06357,5.3403845,7.059114,8.036104,3.1939578,3.6079006,3.8075538,3.1660542
0.22383696,0.0537182,1.2216034,1.4526553,1.0087608,0.4630974,1.3580832,8.122998,5.48467,8.536075,8.150471,0.91033876,3.342447,5.300681,1.0165262
0.23989367,0.05481393,1.57086,1.4192963,0.98289335,0.6123914,1.3204589,6.8306527,5.441844,6.1164756,6.8162575,0.3429379,2.5291538,0.8325095,0.36753774
0.098318145,0.010228026,0.9630639,0.74837947,1.0168097,0.44586694,0.82850593,1.3555709,5.573649,5.782467,1.3447855,0.28523842,3.3561954,3.4199972,0.35951376
0.13824923,0.020605404,1.0474576,0.9487319,1.002484,0.3945983,0.76432544,7.1858406,5.4090743,3.1808624,7.4039516,0.77517575,3.5481982,3.1955924,0.87173307
0.12204603,0.014255906,1.1227993,1.1074042,1.0141618,0.3243801,1.2327442,7.596511,5.491087,6.3727317,7.5491257,4.0889764,3.0802274,4.2464128,4.1539526
0.09136513,0.009422563,0.80450046,0.68638355,1.0230621,0.4929766,0.680957,1.1518427,5.667152,4.111045,1.1275306,4.69415,3.5584707,4.921412,4.644917
0.253579,0.057814732,1.2443929,1.1283199,1.0072128,0.22638422,1.1296598,8.454689,5.529899,7.507055,8.453901,2.7277508,2.959238,4.273796,2.7272618
