snr_gt,snr_raw,snr_denoised,amplitude_true,amplitude_raw,amplitude_denoised,amplitude_signal,frequency_hz_true,frequency_hz_raw,frequency_hz_denoised,frequency_hz_signal,phase_rad_true,phase_rad_raw,phase_rad_denoised,phase_rad_signal
0.17864197,0.031492237,0.51109976,1.0738392,1.0100698,1.1837618,1.0777969,3.8559415,5.5732393,5.3345256,3.9089546,2.5414557,3.557686,5.7642865,2.5223727
0.0844226,0.007367874,0.13730794,0.59904283,1.0103935,1.3885192,0.619197,7.432111,5.3741827,6.2725487,7.434448,2.2441943,3.1634388,6.3231697,2.257924
0.13349514,0.016634738,0.4361298,1.243649,1.0101672,1.4756844,1.2145747,5.693845,5.593323,6.0569353,5.7349496,0.8462982,2.9155264,2.037437,0.89397657
0.08601155,0.0075290455,0.35189587,0.79235786,1.0271763,1.2627327,0.77611923,2.8301275,5.7080708,7.1895413,2.8377872,3.0445719,3.5971277,0.43492413,3.042121
0.24562007,0.061156437,0.5609351,1.4584496,1.0210906,1.1638621,1.27021,8.889417,5.473526,8.94067,8.852982,2.1403117,3.321384,2.7372348,2.070452
0.12438171,0.017006416,0.27033433,0.52520466,1.0161604,0.814647,0.53105724,8.886419,5.2935023,5.743147,8.833885,4.0549026,3.3746552,2.4336083,4.0583534
0.13564864,0.018042501,0.47904623,1.0644503,1.0096409,1.3379834,1.0259149,3.0906057,5.4391756,2.2427952,3.1262395,5.141581,3.087194,5.4269123,5.0368757
0.15115204,0.022295883,0.46589422,1.2037977,1.0052962,1.3370028,1.1982998,9.855691,5.2749767,1.5837591,9.810924,1.3099765,3.1319506,5.271467,1.3322761
0.14142777,0.022406297,0.45967385,0.93083626,1.0230968,1.4628565,0.9415279,6.801035,5.5694685,6.703372,6.8306217,2.5068567,3.5981476,4.6428413,2.481218
0.22384177,0.048317075,0.59313977,1.465273,1.0230043,1.4353709,1.3857635,4.657693,5.6039257,4.436833,4.653659,1.2898626,3.528466,6.308056,1.2920281
0.14978307,0.02314029,0.25520203,0.79966414,1.003749,1.473763,0.8637811,2.4356678,5.4046593,1.3180294,2.3972156,1.51451,3.191325,0.9967352,1.529276
0.086203754,0.0069390917,0.2117548,0.5235437,1.0189146,0.8256934,0.5397432,9.580261,5.726671,5.3924456,9.583094,3.6576593,3.359499,4.7350225,3.6255999
0.13385938,0.017233124,0.4708596,1.1843839,0.99853855,1.3933296,1.1498303,5.662489,5.4867797,3.6536236,5.639161,5.790342,2.8778298,2.1723833,5.6801043
0.1767723,0.030838473,0.35844254,1.0145509,0.99551445,1.3831581,1.0246034,8.380629,5.5105653,9.011625,8.372316,2.3601038,2.6916668,2.730244,2.3086772
0.18389457,0.033229467,0.38274065,1.1083646,1.0086384,1.5383799,1.1272414,5.085358,5.4892135,5.4940777,5.1330347,3.0361211,2.967104,2.7521207,3.0335953
0.15620214,0.023716418,0.405239,1.052643,1.0219882,1.203655,1.0769806,1.5328028,5.637928,3.0864482,1.5008361,1.6876518,3.323512,3.3789072,1.6645523
0.14827792,0.022009132,0.42351863,1.2199957,1.0038443,1.7514405,1.1824377,7.80484,5.319004,4.2670193,7.8034973,0.5966287,2.9684062,4.137757,0.6953436
