model,mode,snr_gt,freq_true,mse_vs_clean,mae_vs_clean,crps_vs_clean,spectral_mse,peak_freq_error,sfer,mse_vs_noisy,mae_vs_noisy
chronos,zero_shot,0.17864197,3.8559415,0.60377324,0.6962114,0.55987257,209985.38,3.8559415340423584,0.96589,20.775394,3.7317553
chronos,zero_shot,0.0844226,7.432111,0.37554517,0.49245614,0.37322086,138535.6,7.432110786437988,0.47476983,22.590355,3.882955
chronos,zero_shot,0.13349514,5.693845,0.81956327,0.7855679,0.5928342,273077.25,5.693844795227051,0.94795203,57.84955,6.1887197
chronos,zero_shot,0.08601155,2.8301275,0.6144331,0.64978814,0.49936622,265744.34,2.830127477645874,0.5191623,48.592567,5.65197
chronos,zero_shot,0.24562007,8.889417,1.1212982,0.93297446,0.79233074,852894.2,8.889416694641113,0.9394734,15.169916,3.2002363
chronos,zero_shot,0.12438171,8.886419,0.17198715,0.3579231,0.27646625,17080.02,8.886419296264648,0.80824053,9.102846,2.421174
chronos,zero_shot,0.13564864,3.0906057,0.6100069,0.6862191,0.5449021,274142.38,3.0906057357788086,0.92449075,29.910097,4.496832
chronos,zero_shot,0.15115204,9.855691,0.76948595,0.7743467,0.6215465,317119.03,9.855690956115723,0.9372289,35.57756,4.8918014
chronos,zero_shot,0.14142777,6.801035,0.5265264,0.63078296,0.50329447,97182.086,6.801034927368164,0.82758194,23.73505,3.8965116
chronos,zero_shot,0.22384177,4.657693,1.1430647,0.9470939,0.780452,642495.94,4.657692909240723,0.93234426,23.729176,3.8682885
chronos,zero_shot,0.14978307,2.4356678,0.3024604,0.48678133,0.3779401,92881.34,2.4356677532196045,1.0514394,15.547361,3.273272
chronos,zero_shot,0.086203754,9.580261,0.19109614,0.3631965,0.26966518,23164.225,9.58026123046875,0.72285134,18.574066,3.4090025
chronos,zero_shot,0.13385938,5.662489,0.7455605,0.75867486,0.5840349,269375.53,5.66248893737793,0.9460767,39.773705,4.997674
chronos,zero_shot,0.1767723,8.380629,0.71578807,0.7155197,0.562181,305885.72,8.38062858581543,0.71148497,17.317865,3.3319783
chronos,zero_shot,0.18389457,5.085358,0.74322784,0.74773777,0.5869185,353403.9,5.085358142852783,0.83694535,21.926563,3.863713
chronos,zero_shot,0.15620214,1.5328028,0.59701264,0.6842749,0.55432326,299796.38,1.5328028202056885,0.9125941,20.818903,3.69809
chronos,zero_shot,0.14827792,7.80484,0.72855616,0.76116484,0.6064253,226209.58,7.804840087890625,1.0145811,32.54333,4.750106
chronos,zero_shot,0.13671808,2.408162,1.1672194,0.88179064,0.7261108,1.7776638e+06,2.4081621170043945,0.39355808,26.333815,3.9845223
chronos,zero_shot,0.07213984,3.3089912,0.18852353,0.37357602,0.2642503,11084.839,3.3089911937713623,0.8448476,28.138655,4.251702
chronos,zero_shot,0.06741712,9.816241,0.19269755,0.37168866,0.27072078,13007.105,9.816241264343262,0.8062627,35.712177,4.939674
chronos,zero_shot,0.063845605,9.173341,0.334892,0.46234673,0.34840536,117021.96,9.173340797424316,0.42287356,36.148434,4.8806896
chronos,zero_shot,0.23777266,4.0780478,1.1229651,0.94582075,0.7836702,1.04793894e+06,4.078047752380371,0.9691871,19.489588,3.5594153
chronos,zero_shot,0.19239253,1.4816298,1.1357486,0.94338727,0.7609973,1.193302e+06,1.4816298484802246,0.9441028,26.063599,4.109755
chronos,zero_shot,0.13275135,2.2020853,0.44498134,0.5841123,0.43522692,67777.42,2.202085256576538,0.8985091,18.251072,3.2197633
chronos,zero_shot,0.19940522,3.1825366,0.6649908,0.7248955,0.59673804,199377.4,3.1825366020202637,1.0129651,15.451026,3.0845766
chronos,zero_shot,0.12862082,8.606263,0.18827842,0.37797916,0.28783047,19493.664,8.606263160705566,0.8144863,8.792646,2.3678856
chronos,zero_shot,0.14158313,9.426365,0.7842331,0.77632296,0.61402583,484181.25,9.42636489868164,0.92528886,26.944437,4.162722
chronos,zero_shot,0.19974089,5.930628,0.48251382,0.610957,0.49891478,188118.88,5.930627822875977,0.93717855,11.959364,2.718659
chronos,zero_shot,0.11896219,6.357024,0.5804477,0.6658928,0.503871,166895.31,6.357024192810059,0.8702106,35.401207,4.856189
chronos,zero_shot,0.07833698,2.1731606,0.2106738,0.39833093,0.29651237,15101.926,2.1731605529785156,0.83804923,22.536388,3.872488
chronos,zero_shot,0.16236866,2.0200405,0.3980047,0.56513846,0.44631645,163982.81,2.020040512084961,1.0059539,18.739265,3.4825597
chronos,zero_shot,0.084588,1.8997409,0.9916239,0.8448962,0.69038355,1.8106899e+06,1.8997409343719482,0.24403073,38.773415,4.904732
chronos,zero_shot,0.10987852,2.9828417,0.14079064,0.33125457,0.23783317,16856.252,2.982841730117798,0.90601206,10.58691,2.5453167
chronos,zero_shot,0.14535269,4.6851063,0.50288534,0.6157784,0.48686355,98875.28,4.68510627746582,0.8381562,16.919853,3.1968224
chronos,zero_shot,0.13097066,3.0473177,0.2552028,0.4242031,0.30995375,44048.625,3.0473177433013916,0.7174137,9.667835,2.4175308
chronos,zero_shot,0.2187379,7.906849,0.23938423,0.43901974,0.35078576,45398.58,7.906848907470703,0.98072916,5.3181105,1.8473662
chronos,zero_shot,0.11632129,7.051041,0.5604191,0.6172925,0.48256236,267930.75,7.051041126251221,0.5778464,30.564665,4.271282
chronos,zero_shot,0.11422386,9.518758,0.73891664,0.69353104,0.5442643,504762.8,9.518757820129395,0.6161661,37.941277,5.009889
chronos,zero_shot,0.082075305,8.06357,0.34918618,0.51999676,0.37506953,73192.48,8.063570022583008,0.77977985,31.881458,4.6690702
chronos,zero_shot,0.22383696,8.122998,1.1174932,0.9385457,0.7873889,798352.44,8.122998237609863,0.9515394,17.95839,3.3210945
chronos,zero_shot,0.23989367,6.8306527,1.1037407,0.93304396,0.76858574,544528.44,6.830652713775635,0.92186934,19.610659,3.6348333
chronos,zero_shot,0.098318145,1.3555709,0.8352884,0.77138555,0.61902523,697198.9,1.355570912361145,0.3164446,28.293455,4.2290187
chronos,zero_shot,0.13824923,7.1858406,0.5016112,0.6147584,0.482423,101754.9,7.185840606689453,0.90493804,21.93357,3.794616
chronos,zero_shot,0.12204603,7.596511,0.9510107,0.8103711,0.63871354,620905.0,7.596510887145996,0.6386644,40.484978,4.884686
chronos,zero_shot,0.09136513,1.1518427,0.32672662,0.49029258,0.3646432,48927.176,1.151842713356018,0.7090778,29.018215,4.403357
chronos,zero_shot,0.253579,8.454689,0.6793337,0.7342954,0.6357167,400832.25,8.454689025878906,0.9417228,11.96982,2.8077793
chronos,zero_shot,0.12128972,2.4508338,0.25684905,0.4178482,0.296162,127200.08,0.049166202545166016,1.6728609,27.002714,4.1490593
chronos,zero_shot,0.050612584,7.0645943,0.307293,0.450694,0.34985867,80612.75,7.064594268798828,0.4549105,48.442616,5.362571
chronos,zero_shot,0.08724453,4.221943,0.40081304,0.52579594,0.38576433,50243.426,4.221942901611328,0.71017784,46.364853,5.4583764
chronos,zero_shot,0.1109124,9.786577,0.25369173,0.4467945,0.32957262,20382.94,9.786577224731445,0.9175112,17.938612,3.4553761
chronos,zero_shot,0.1445484,7.465481,0.8883141,0.83817047,0.65872204,769907.1,7.465480804443359,0.9875181,46.9612,5.4824495
chronos,zero_shot,0.15759379,7.9984713,0.6115015,0.6777009,0.5135767,269743.4,7.998471260070801,0.8134995,20.68188,3.47398
chronos,zero_shot,0.104085736,3.736722,0.36341387,0.5008075,0.37665826,55183.824,3.736721992492676,0.63558424,19.221945,3.6201634
chronos,zero_shot,0.15694624,4.8289733,0.90300345,0.77721214,0.6323589,622742.25,4.828973293304443,0.623698,24.4953,3.8539476
chronos,zero_shot,0.1043316,6.041635,0.48008397,0.609962,0.4603572,190890.42,6.041635036468506,0.9119768,34.710587,4.878558
chronos,zero_shot,0.0969622,4.952629,0.43106484,0.5791599,0.43452722,178883.55,4.952629089355469,0.9960556,49.575336,5.8095317
chronos,zero_shot,0.084505714,9.427956,0.4925331,0.5746685,0.4405004,187190.47,9.427955627441406,0.5032665,28.77766,4.4583607
