model,mode,snr_gt,freq_true,mse_vs_clean,mae_vs_clean,crps_vs_clean,spectral_mse,peak_freq_error,sfer,mse_vs_noisy,mae_vs_noisy
lagllama,zero_shot,0.17864197,3.8559415,2.5632043,1.3234193,1.1270489,451247.5840178099,3.8559415340423584,0.22751933,23.590244,3.9989746
lagllama,zero_shot,0.0844226,7.432111,2.685398,1.3087884,1.1975145,226088.8264694395,1.9321107864379883,0.06639519,22.979599,3.9305124
lagllama,zero_shot,0.13349514,5.693845,4.6419497,1.6992664,1.5289953,936032.4434695329,24.30615520477295,0.16736646,58.217678,6.1172037
lagllama,zero_shot,0.08601155,2.8301275,5.1688395,1.7190013,1.5823157,619410.382511936,2.830127477645874,0.061714143,54.58273,5.8910007
lagllama,zero_shot,0.24562007,8.889417,2.321471,1.1833539,1.0311611,839108.5507281628,1.1105833053588867,0.45377687,16.914003,3.305115
lagllama,zero_shot,0.12438171,8.886419,0.8679076,0.75830793,0.66871715,70331.69824585786,8.886419296264648,0.16016336,9.232372,2.420239
lagllama,zero_shot,0.13564864,3.0906057,4.5660954,1.6850185,1.4452277,1164933.0634621838,3.0906057357788086,0.123507224,32.04894,4.675851
lagllama,zero_shot,0.15115204,9.855691,4.3218317,1.6182005,1.3976623,528741.6253713965,12.144309043884277,0.1668701,40.036903,5.0331154
lagllama,zero_shot,0.14142777,6.801035,3.0088663,1.3959675,1.1005752,185640.7751135576,11.698965072631836,0.1448199,27.230534,4.1877036
lagllama,zero_shot,0.22384177,4.657693,3.0935655,1.4132993,1.2113199,691275.7494445329,5.842307090759277,0.34449887,24.515032,3.9367483
lagllama,zero_shot,0.14978307,2.4356678,1.8639562,1.0815809,0.9095614,313904.4031645442,2.4356677532196045,0.17061494,17.095097,3.3854008
lagllama,zero_shot,0.086203754,9.580261,2.2570045,1.2208279,1.0769689,125753.86050307656,6.41973876953125,0.061202407,21.57939,3.708636
lagllama,zero_shot,0.13385938,5.662489,5.439781,1.8609152,1.6228206,4171644.5745017678,5.66248893737793,0.1296665,45.305603,5.3259745
lagllama,zero_shot,0.1767723,8.380629,2.2547932,1.2532154,1.0249724,396779.87290726916,8.38062858581543,0.22586216,20.069908,3.645368
lagllama,zero_shot,0.18389457,5.085358,2.4421718,1.2485056,1.0948998,449248.15628723096,5.085358142852783,0.25470817,22.162018,3.760101
lagllama,zero_shot,0.15620214,1.5328028,3.2798114,1.3946542,1.221278,623219.9148230943,1.5328028202056885,0.16611633,22.915152,3.799521
lagllama,zero_shot,0.14827792,7.80484,4.927549,1.7536112,1.4738705,446149.2470382821,4.804840087890625,0.15000953,38.592113,5.0523586
lagllama,zero_shot,0.13671808,2.408162,3.342637,1.5021744,1.2249179,285176.60921727744,13.591837882995605,0.13742702,29.077053,4.3283067
lagllama,zero_shot,0.07213984,3.3089912,3.7144432,1.5338778,1.3632944,1101601.2618494679,3.3089911937713623,0.04287955,30.66682,4.375781
lagllama,zero_shot,0.06741712,9.816241,3.8130598,1.4952774,1.3998263,740039.4885624592,6.816241264343262,0.040745452,38.73878,5.1241584
lagllama,zero_shot,0.063845605,9.173341,3.889597,1.6269174,1.4406048,477051.85764237127,1.6733407974243164,0.036409162,39.716244,5.111381
lagllama,zero_shot,0.23777266,4.0780478,4.1031227,1.582809,1.3283713,1370605.8332796565,6.421952247619629,0.26525244,23.515635,3.8494873
lagllama,zero_shot,0.19239253,1.4816298,3.775647,1.5227673,1.3377811,1482315.4202262682,1.4816298484802246,0.28399464,26.066097,4.096308
lagllama,zero_shot,0.13275135,2.2020853,2.918868,1.3328933,1.2215967,358756.487331734,2.202085256576538,0.13697767,21.417082,3.5253253
lagllama,zero_shot,0.19940522,3.1825366,2.6669116,1.3455403,1.1360435,1595092.3845303971,3.1825366020202637,0.25258148,18.91613,3.478877
lagllama,zero_shot,0.12862082,8.606263,1.6171987,0.98014694,0.8384304,86378.22341876892,8.606263160705566,0.09482459,10.023178,2.5213943
lagllama,zero_shot,0.14158313,9.426365,4.4719763,1.6354713,1.4937575,1661078.0997973369,9.42636489868164,0.16226432,31.260073,4.62669
lagllama,zero_shot,0.19974089,5.930628,1.3896556,0.9231622,0.8496758,214619.28890453622,0.9306278228759766,0.32540554,13.208769,2.931523
lagllama,zero_shot,0.11896219,6.357024,3.9330409,1.5061324,1.4219685,456504.74495147046,7.142975807189941,0.12842777,40.086838,5.308902
