model,mode,snr_gt,freq_true,mse_vs_clean,mae_vs_clean,crps_vs_clean,spectral_mse,peak_freq_error,sfer,mse_vs_noisy,mae_vs_noisy
moirai,zero_shot,0.17864197,3.8559415,2.2623334,1.2292863,1.3032832,316284.77984067897,5.144058465957642,0.25777745,22.939802,3.9560757
moirai,zero_shot,0.0844226,7.432111,2.5779376,1.2897415,1.6186724,2331795.5188603606,7.432110786437988,0.06916285,25.016422,4.0741158
moirai,zero_shot,0.13349514,5.693845,4.8269696,1.7708213,1.8912544,552377.2983657931,3.806155204772949,0.16095123,64.70982,6.551875
moirai,zero_shot,0.08601155,2.8301275,4.578985,1.7568731,1.7881833,13494903.55026828,2.830127477645874,0.06966402,53.13347,5.844778
moirai,zero_shot,0.24562007,8.889417,3.1385493,1.3910441,1.52484,949184.4463118452,8.889416694641113,0.33564228,16.704313,3.26437
moirai,zero_shot,0.12438171,8.886419,0.9420126,0.75907624,0.7989768,165181.9368140959,8.886419296264648,0.14756383,9.885978,2.5440645
moirai,zero_shot,0.13564864,3.0906057,4.1019998,1.6790907,1.6886977,462504.3100127475,15.409394264221191,0.13748069,34.233368,4.747542
moirai,zero_shot,0.15115204,9.855691,7.550841,2.1874485,1.8885133,52998479.72434952,9.855690956115723,0.09551049,38.537098,4.951587
moirai,zero_shot,0.14142777,6.801035,2.5175552,1.2275997,1.2892394,273659.5369913921,2.198965072631836,0.17308208,25.915876,4.0561805
moirai,zero_shot,0.22384177,4.657693,4.6617107,1.7200482,1.5315394,3990612.7390713086,4.657692909240723,0.22861347,28.071068,4.2368927
moirai,zero_shot,0.14978307,2.4356678,2.2052207,1.2292266,1.1367152,268095.27172726527,2.4356677532196045,0.14421177,17.972061,3.5028331
moirai,zero_shot,0.086203754,9.580261,2.0113277,1.1030672,1.3282887,121554.57732425442,8.91973876953125,0.068678066,20.882256,3.6461089
moirai,zero_shot,0.13385938,5.662489,6.549724,1.9904879,2.0484822,8455036.263726426,5.66248893737793,0.107692696,47.82902,5.457524
moirai,zero_shot,0.1767723,8.380629,2.5980253,1.2992657,1.2612486,864888.8240226211,8.38062858581543,0.1960229,20.664885,3.63573
moirai,zero_shot,0.18389457,5.085358,5.2464757,1.8370559,1.6448364,19243595.413985852,5.085358142852783,0.118563615,23.686615,3.9671464
moirai,zero_shot,0.15620214,1.5328028,4.236743,1.658994,1.5699034,2159835.9322284902,1.5328028202056885,0.12859647,24.218239,3.9559503
moirai,zero_shot,0.14827792,7.80484,3.9399686,1.6265023,1.7084377,438384.0944221779,15.695159912109375,0.18761045,36.31713,4.9969416
moirai,zero_shot,0.13671808,2.408162,2.8655138,1.3785791,1.3628409,1107432.5149505914,2.4081621170043945,0.16030934,27.789629,4.039563
moirai,zero_shot,0.07213984,3.3089912,3.3085089,1.462337,1.5656301,376475.4014273594,3.3089911937713623,0.048140615,32.2419,4.4119377
moirai,zero_shot,0.06741712,9.816241,3.2256474,1.4356897,1.5358253,547617.7475344038,9.816241264343262,0.048165474,38.81203,5.0496216
moirai,zero_shot,0.063845605,9.173341,3.6483355,1.4956672,1.7957039,576081.8185044508,9.173340797424316,0.038816873,42.019127,5.037086
moirai,zero_shot,0.23777266,4.0780478,2.944681,1.3069522,1.6563416,1704439.4568228838,4.078047752380371,0.36960313,22.066212,3.767198
moirai,zero_shot,0.19239253,1.4816298,3.1997995,1.4531928,1.4734527,1424890.3422741648,7.018370151519775,0.33510333,26.812435,4.1720634
moirai,zero_shot,0.13275135,2.2020853,2.761248,1.3107226,1.4404078,216911.58944029114,7.297914743423462,0.14479676,20.43406,3.4617624
moirai,zero_shot,0.19940522,3.1825366,2.0882046,1.11776,1.3034517,256918.9282775726,3.8174633979797363,0.3225797,17.060043,3.2169566
moirai,zero_shot,0.12862082,8.606263,1.5831065,1.0321019,1.0631411,1893213.4362917377,8.606263160705566,0.09686664,10.841143,2.5970588
moirai,zero_shot,0.14158313,9.426365,4.1182513,1.5953932,1.7630632,814873.1441980769,14.57363510131836,0.17620152,30.628437,4.4497175
