model,mode,snr_gt,freq_true,mse_vs_clean,mae_vs_clean,crps_vs_clean,spectral_mse,peak_freq_error,sfer,mse_vs_noisy,mae_vs_noisy
moment,zero_shot,0.17864197,3.8559415,1.2231752,0.8776891,0.8776891,227465.92,3.8559415340423584,0.47677433,20.345915,3.6810489
moment,zero_shot,0.0844226,7.432111,1.3866726,0.929613,0.929613,385513.75,7.432110786437988,0.1285794,25.992834,4.1705236
moment,zero_shot,0.13349514,5.693845,2.339129,1.2047263,1.2047263,305140.25,2.306155204772949,0.33213502,57.909077,6.2102633
moment,zero_shot,0.08601155,2.8301275,1.6347914,1.0418357,1.0418357,89400.74,19.169872522354126,0.19512612,50.725163,5.711771
moment,zero_shot,0.24562007,8.889417,1.8216985,1.12305,1.12305,828043.4,8.889416694641113,0.57826793,16.090607,3.2990391
moment,zero_shot,0.12438171,8.886419,0.45164406,0.5604962,0.5604962,16401.201,8.886419296264648,0.30777994,9.276196,2.419275
moment,zero_shot,0.13564864,3.0906057,1.6798961,1.0228581,1.0228581,349064.75,3.0906057357788086,0.33570278,33.06874,4.6616907
moment,zero_shot,0.15115204,9.855691,1.7619702,1.072015,1.072015,344742.75,9.855690956115723,0.40930572,33.94648,4.6542225
moment,zero_shot,0.14142777,6.801035,1.1332238,0.8397792,0.8397792,95508.55,6.698965072631836,0.38451692,23.396275,3.8313184
moment,zero_shot,0.22384177,4.657693,1.8874629,1.1422472,1.1422472,579862.6,4.657692909240723,0.56463623,24.464584,3.9940178
moment,zero_shot,0.14978307,2.4356678,0.90774596,0.7707223,0.7707223,139499.27,2.4356677532196045,0.350339,15.54973,3.2123094
moment,zero_shot,0.086203754,9.580261,0.8922056,0.75886583,0.75886583,35943.56,1.58026123046875,0.15482318,20.684992,3.5304708
moment,zero_shot,0.13385938,5.662489,2.5391893,1.2765787,1.2765787,539839.9,5.66248893737793,0.27778843,40.119522,5.0498934
moment,zero_shot,0.1767723,8.380629,1.1219561,0.88216627,0.88216627,195049.83,8.38062858581543,0.45391476,16.782862,3.346572
moment,zero_shot,0.18389457,5.085358,1.1855848,0.8995009,0.8995009,326434.22,3.085358142852783,0.5246703,23.060919,3.9551008
moment,zero_shot,0.15620214,1.5328028,1.5723183,0.99016386,0.99016386,313203.75,2.9671971797943115,0.34651393,21.309256,3.6659188
moment,zero_shot,0.14827792,7.80484,2.1870136,1.230816,1.230816,228403.55,14.195159912109375,0.33798566,33.8437,4.804106
moment,zero_shot,0.13671808,2.408162,1.6248955,1.044144,1.044144,302302.6,2.4081621170043945,0.2827066,25.91006,3.9375553
