model,mode,snr_gt,freq_true,mse_vs_clean,mae_vs_clean,crps_vs_clean,spectral_mse,peak_freq_error,sfer,mse_vs_noisy,mae_vs_noisy
timesfm,zero_shot,0.17864197,3.8559415,0.6497503,0.6957747,0.8579381,242126.1627506806,3.8559415340423584,0.89754254,20.865614,3.7348762
timesfm,zero_shot,0.0844226,7.432111,0.3412856,0.46834576,0.8952987,112982.9408074895,7.432110786437988,0.5224291,22.188704,3.8430634
timesfm,zero_shot,0.13349514,5.693845,0.7335024,0.75817525,1.2122294,260597.62685490944,5.693844795227051,1.0591741,57.328583,6.1653924
timesfm,zero_shot,0.08601155,2.8301275,1.0107961,0.82182205,1.1566724,1452470.8068541675,2.830127477645874,0.31558344,49.03608,5.683675
timesfm,zero_shot,0.24562007,8.889417,1.0078459,0.89261395,0.88862205,823513.2409697704,8.889416694641113,1.0452291,15.229858,3.193325
timesfm,zero_shot,0.12438171,8.886419,0.15495974,0.34953701,0.5222788,14355.289367501255,8.886419296264648,0.8970523,8.923885,2.3894424
timesfm,zero_shot,0.13564864,3.0906057,0.77169514,0.74723005,1.0413531,307566.48177063355,3.0906057357788086,0.7307883,29.354395,4.3809133
timesfm,zero_shot,0.15115204,9.855691,1.6566478,1.0397809,1.1881584,3535610.1179802916,9.855690956115723,0.4353276,35.082535,4.817098
timesfm,zero_shot,0.14142777,6.801035,0.46779323,0.6044725,0.8436725,80576.69869345917,6.801034927368164,0.93148786,23.713005,3.8831902
timesfm,zero_shot,0.22384177,4.657693,1.4712827,1.0197222,1.0068038,1126344.4139843427,4.657692909240723,0.7243542,24.119957,3.862329
timesfm,zero_shot,0.14978307,2.4356678,0.37381786,0.53966993,0.7117593,89758.4895237035,0.06433224678039551,0.85073197,15.717463,3.280617
timesfm,zero_shot,0.086203754,9.580261,0.1587882,0.34693,0.761258,17058.77074006009,9.58026123046875,0.86992675,18.849464,3.4280977
timesfm,zero_shot,0.13385938,5.662489,1.298374,0.9391271,1.2396286,756872.4602454972,5.66248893737793,0.5432621,42.371483,5.2023926
timesfm,zero_shot,0.1767723,8.380629,0.60232663,0.67199904,0.83653116,200397.59723181705,8.38062858581543,0.84550875,17.270882,3.347145
timesfm,zero_shot,0.18389457,5.085358,0.9943795,0.8337872,0.83790606,683970.7754144259,5.085358142852783,0.62555707,22.011295,3.8949797
timesfm,zero_shot,0.15620214,1.5328028,0.5817834,0.68524456,0.9317096,298521.069490482,1.5328028202056885,0.93648285,21.234892,3.742278
timesfm,zero_shot,0.14827792,7.80484,1.2946215,0.9416127,1.12005,745953.8447551802,7.804840087890625,0.5709617,33.597336,4.793729
timesfm,zero_shot,0.13671808,2.408162,1.2131305,0.87895393,0.94457805,1728075.6879979796,2.4081621170043945,0.37866384,26.797743,4.023935
timesfm,zero_shot,0.07213984,3.3089912,0.26482144,0.42699957,0.95716846,12842.875628795351,3.3089911937713623,0.6014379,27.713787,4.2171373
timesfm,zero_shot,0.06741712,9.816241,0.24306005,0.4085354,0.969182,12373.749565231712,9.816241264343262,0.63920355,35.314636,4.877969
timesfm,zero_shot,0.063845605,9.173341,0.1285508,0.30156356,0.9919808,4670.848908963159,0.1733407974243164,1.1016421,35.87106,4.8514705
timesfm,zero_shot,0.23777266,4.0780478,1.6559877,1.1398523,1.033787,386774.22878196044,0.0780477523803711,0.65722907,19.722301,3.580963
timesfm,zero_shot,0.19239253,1.4816298,1.3378571,1.036145,1.0152321,1188341.6496933869,1.4816298484802246,0.8014783,26.20945,4.1028543
timesfm,zero_shot,0.13275135,2.2020853,0.45419553,0.59142727,0.8135013,67465.5031596687,2.202085256576538,0.88028115,18.29007,3.2366939
timesfm,zero_shot,0.19940522,3.1825366,0.86701953,0.8082057,0.8896258,269258.3651495998,3.1825366020202637,0.77692884,16.080063,3.1970506
timesfm,zero_shot,0.12862082,8.606263,0.25303534,0.40804416,0.5983092,54832.09312927958,8.606263160705566,0.6060426,8.643406,2.3426342
timesfm,zero_shot,0.14158313,9.426365,0.7837071,0.78896725,1.1007972,471017.9543755062,8.92636489868164,0.9259099,27.080967,4.185321
timesfm,zero_shot,0.19974089,5.930628,0.47934812,0.61599493,0.6740142,185646.19229800452,5.930627822875977,0.94336784,12.0103855,2.7346687
timesfm,zero_shot,0.11896219,6.357024,0.66026735,0.69164467,0.9747648,199698.12913504336,6.357024192810059,0.76501083,35.500313,4.854664
timesfm,zero_shot,0.07833698,2.1731606,0.24336468,0.41616568,0.92897046,16104.395005718072,6.826839447021484,0.7254751,22.73627,3.9069185
timesfm,zero_shot,0.16236866,2.0200405,0.4603822,0.6026535,0.7530494,162654.8943949551,2.020040512084961,0.86965656,18.687832,3.4631648
timesfm,zero_shot,0.084588,1.8997409,0.33051193,0.49881116,0.98145205,49410.11148863984,1.3997409343719482,0.73215723,37.798424,4.900194
timesfm,zero_shot,0.10987852,2.9828417,0.1490787,0.33706716,0.6035691,18848.895227780897,2.982841730117798,0.8556422,10.634863,2.5680733
timesfm,zero_shot,0.14535269,4.6851063,0.45257938,0.59603083,0.80263275,82598.00899771125,4.68510627746582,0.93132055,16.791695,3.1584134
timesfm,zero_shot,0.13097066,3.0473177,0.44022518,0.5559424,0.6413671,279762.8134714387,3.0473177433013916,0.41589168,10.281861,2.5016234
timesfm,zero_shot,0.2187379,7.906849,0.3131504,0.50091004,0.4878177,40947.07299210141,0.09315109252929688,0.74970716,5.3883963,1.8520987
timesfm,zero_shot,0.11632129,7.051041,0.4558653,0.5571162,0.85955167,106139.59070289248,4.551041126251221,0.71037686,31.14496,4.295891
timesfm,zero_shot,0.11422386,9.518758,1.439816,1.0011147,1.1095992,4321334.995518163,9.518757820129395,0.31621778,38.545918,5.0036707
timesfm,zero_shot,0.082075305,8.06357,0.42934737,0.5414986,1.0836825,134108.16758700367,8.063570022583008,0.6341913,31.160118,4.6037188
timesfm,zero_shot,0.22383696,8.122998,1.0961452,0.9351498,0.97925305,795197.5971614001,8.122998237609863,0.97007114,18.067966,3.3111188
timesfm,zero_shot,0.23989367,6.8306527,1.0801375,0.925982,0.9206356,538361.085413515,6.830652713775635,0.94201404,19.429974,3.6102314
timesfm,zero_shot,0.098318145,1.3555709,0.31441206,0.48872733,0.9744216,39812.62287395123,1.355570912361145,0.8406882,27.039995,4.1188364
timesfm,zero_shot,0.13824923,7.1858406,0.48547772,0.6152427,0.85558856,95532.68654928604,7.185840606689453,0.9350111,22.375847,3.841995
timesfm,zero_shot,0.12204603,7.596511,1.3414485,0.94046146,1.2704372,2528508.068667265,7.596510887145996,0.45277673,40.43287,4.920603
timesfm,zero_shot,0.09136513,1.1518427,0.29763862,0.48324788,0.8639903,30314.776421980834,1.151842713356018,0.7783754,29.341747,4.428138
timesfm,zero_shot,0.253579,8.454689,0.6947568,0.7382101,0.71881807,407499.82553416624,8.454689025878906,0.92081726,11.953781,2.7932801
timesfm,zero_shot,0.12128972,2.4508338,0.47845593,0.59336674,1.0178275,184664.13159190887,2.450833797454834,0.8980403,27.638393,4.2257576
timesfm,zero_shot,0.050612584,7.0645943,0.23235135,0.39298567,1.3044293,23942.910676756397,7.064594268798828,0.60163546,48.51484,5.307761
timesfm,zero_shot,0.08724453,4.221943,0.37776682,0.52172005,1.0419275,35939.46003117401,4.221942901611328,0.75350326,45.916245,5.4186153
timesfm,zero_shot,0.1109124,9.786577,0.27039254,0.4601832,0.769645,21256.68650298386,9.786577224731445,0.86084116,17.87239,3.4404273
timesfm,zero_shot,0.1445484,7.465481,1.5089186,1.0122006,1.2750185,879798.8032502435,7.465480804443359,0.5813609,47.768005,5.5505896
timesfm,zero_shot,0.15759379,7.9984713,0.5927758,0.6775134,0.89063466,271123.0834038535,7.998471260070801,0.8391979,20.540459,3.408911
timesfm,zero_shot,0.104085736,3.736722,0.36390045,0.5051133,0.8183074,47912.92961074257,3.736721992492676,0.6347344,19.376049,3.6377294
timesfm,zero_shot,0.15694624,4.8289733,0.8426583,0.7650843,0.9190824,256011.75663912913,4.828973293304443,0.6683628,24.297552,3.8301861
timesfm,zero_shot,0.1043316,6.041635,0.97162974,0.8122754,1.093217,364990.16614808765,6.041635036468506,0.45060936,36.38228,5.0398026
timesfm,zero_shot,0.0969622,4.952629,0.48757285,0.60888827,1.1324539,183483.732751646,4.952629089355469,0.88061625,49.46814,5.7908754
timesfm,zero_shot,0.084505714,9.427956,2.0875144,1.2756636,1.2033808,11004353.776774475,9.427955627441406,0.1187419,29.835299,4.5054264
timesfm,zero_shot,0.19687685,6.8471875,0.68866533,0.7417154,0.8732793,245947.7563154505,6.847187519073486,0.9477666,20.543608,3.5811708
timesfm,zero_shot,0.2714182,7.8891783,0.8760421,0.83772755,0.733855,558278.5404482322,10.610821723937988,0.9878743,13.425657,2.9229016
timesfm,zero_shot,0.12424085,7.684982,0.7380537,0.73555374,1.0828981,114995.16805486023,7.184981822967529,0.6597003,29.377151,4.19938
