model,mode,snr_gt,freq_true,mse_vs_clean,mae_vs_clean,crps_vs_clean,spectral_mse,peak_freq_error,sfer,mse_vs_noisy,mae_vs_noisy
lagllama,zero_shot,0.17864197,3.8559415,2.1083386,1.1412865,1.0252684,324010.15683818987,3.8559415340423584,0.27660573,21.17044,3.8036783
lagllama,zero_shot,0.0844226,7.432111,1.4696162,0.977828,1.0564501,116477.03924654552,7.432110786437988,0.121322505,24.244947,4.0174093
lagllama,zero_shot,0.13349514,5.693845,3.5550044,1.5441537,1.5020359,521044.95316627837,2.306155204772949,0.21853888,61.302513,6.242897
lagllama,zero_shot,0.08601155,2.8301275,3.4756324,1.521317,1.4227734,259881.25052927347,0.16987252235412598,0.09177912,51.31729,5.842357
lagllama,zero_shot,0.24562007,8.889417,2.1209505,1.1732545,1.0399162,858947.994598835,6.389416694641113,0.4966782,17.079647,3.466652
lagllama,zero_shot,0.12438171,8.886419,0.6399753,0.6619972,0.61493206,29819.375478822276,8.886419296264648,0.21720679,9.204666,2.4736063
lagllama,zero_shot,0.13564864,3.0906057,2.84403,1.3512485,1.2647555,1122442.8443704934,3.0906057357788086,0.19829108,33.83001,4.6784687
lagllama,zero_shot,0.15115204,9.855691,2.7912846,1.2907062,1.2848252,607554.2501303081,9.855690956115723,0.2583701,38.547485,5.008426
lagllama,zero_shot,0.14142777,6.801035,1.8362114,1.0733984,1.004636,134500.4460894966,6.801034927368164,0.23730585,24.782196,4.048339
lagllama,zero_shot,0.22384177,4.657693,2.2798831,1.2440497,1.0862379,602185.790312172,2.6576929092407227,0.46744934,24.085123,3.8878477
lagllama,zero_shot,0.14978307,2.4356678,1.3724821,0.9166348,0.83638716,211345.73010372263,2.4356677532196045,0.23171072,16.201649,3.3426933
lagllama,zero_shot,0.086203754,9.580261,1.0729473,0.8231878,0.9094289,41760.15510933794,22.41973876953125,0.12874268,20.324173,3.5591383
lagllama,zero_shot,0.13385938,5.662489,4.3146925,1.6302947,1.5281748,2154904.263301729,5.66248893737793,0.16347803,44.348953,5.3212023
lagllama,zero_shot,0.1767723,8.380629,1.6678813,1.0397888,1.0127636,232437.69436238403,8.38062858581543,0.30534095,19.06189,3.486699
lagllama,zero_shot,0.18389457,5.085358,1.5108402,1.0122054,0.94796574,353306.35301974963,4.585358142852783,0.41171867,22.369675,3.8936715
lagllama,zero_shot,0.15620214,1.5328028,1.9972979,1.144603,1.0853057,600563.5244761329,1.5328028202056885,0.27278364,21.660023,3.8519301
