model,mode,snr_gt,freq_true,mse_vs_clean,mae_vs_clean,crps_vs_clean,spectral_mse,peak_freq_error,sfer,mse_vs_noisy,mae_vs_noisy
moirai,zero_shot,0.17864197,3.8559415,2.5626879,1.3281972,1.322864,380740.68249991036,5.644058465957642,0.22756518,22.42323,3.9123597
moirai,zero_shot,0.0844226,7.432111,3.6655889,1.6249489,1.7072324,2745863.3342063604,7.432110786437988,0.048640896,26.612774,4.1896863
moirai,zero_shot,0.13349514,5.693845,5.7158127,1.8951273,2.0472689,879100.9489481114,11.30615520477295,0.13592234,64.19665,6.5044174
moirai,zero_shot,0.08601155,2.8301275,5.293421,1.9162273,1.8196189,13762461.580395047,2.830127477645874,0.060261693,52.400543,5.864864
moirai,zero_shot,0.24562007,8.889417,3.1693587,1.4124618,1.3514212,885493.1741520781,17.110583305358887,0.3323795,17.396448,3.4708343
moirai,zero_shot,0.12438171,8.886419,0.91181463,0.77830905,0.7931578,61649.38976080481,8.886419296264648,0.15245093,10.352055,2.5727508
moirai,zero_shot,0.13564864,3.0906057,3.4179525,1.4836731,1.6414574,514815.1991386922,0.5906057357788086,0.16499521,29.975252,4.3535147
moirai,zero_shot,0.15115204,9.855691,7.392167,2.2923803,1.9764774,55625722.870677255,9.855690956115723,0.09756063,40.31791,5.209761
moirai,zero_shot,0.14142777,6.801035,2.896214,1.3992372,1.3395814,230683.1235151731,11.198965072631836,0.15045287,26.084114,4.001564
moirai,zero_shot,0.22384177,4.657693,4.3634696,1.6753886,1.4679826,13020635.55402074,4.657692909240723,0.24423909,28.972197,4.2437487
moirai,zero_shot,0.14978307,2.4356678,1.9340293,1.1656245,1.1114016,258369.2654662243,2.4356677532196045,0.16443329,16.258747,3.2737114
moirai,zero_shot,0.086203754,9.580261,1.8086445,1.0689738,1.2551155,93982.49352045252,7.08026123046875,0.07637438,19.430525,3.5465655
moirai,zero_shot,0.13385938,5.662489,6.812636,2.1018627,2.059738,24592378.817000683,5.66248893737793,0.10353664,47.195084,5.471049
moirai,zero_shot,0.1767723,8.380629,2.0789738,1.1206537,1.2308555,651021.3180133811,8.38062858581543,0.2449634,20.254444,3.5207725
moirai,zero_shot,0.18389457,5.085358,5.571271,1.9125804,1.6876764,16101069.741609063,5.085358142852783,0.11165156,25.168535,4.1535006
moirai,zero_shot,0.15620214,1.5328028,4.3016872,1.6613379,1.5405107,1056542.6681601568,1.5328028202056885,0.126655,24.786587,4.0689354
