model,mode,snr_gt,freq_true,mse_vs_clean,mae_vs_clean,crps_vs_clean,spectral_mse,peak_freq_error,sfer,mse_vs_noisy,mae_vs_noisy
timemoe,zero_shot,0.17864197,3.8559415,0.612823,0.69951355,0.69951355,212084.41750366037,3.8559415340423584,0.95162636,20.704498,3.7279994
timemoe,zero_shot,0.0844226,7.432111,0.55460274,0.61345774,0.61345774,594914.1782311678,7.432110786437988,0.32148692,22.760845,3.8882923
timemoe,zero_shot,0.13349514,5.693845,0.85038567,0.80795574,0.80795574,294550.7082505391,5.693844795227051,0.91359335,57.645412,6.1769443
timemoe,zero_shot,0.08601155,2.8301275,0.32375303,0.5106021,0.5106021,53287.24170033431,2.830127477645874,0.98528963,48.56173,5.676605
timemoe,zero_shot,0.24562007,8.889417,1.0744557,0.9277725,0.9277725,827999.9227372367,8.889416694641113,0.98043114,15.212224,3.206653
timemoe,zero_shot,0.12438171,8.886419,0.14177407,0.3376294,0.3376294,14378.286519528998,8.886419296264648,0.9804824,9.015219,2.4083073
timemoe,zero_shot,0.13564864,3.0906057,0.6476389,0.7057953,0.7057953,286334.7953153195,3.0906057357788086,0.8707719,29.330711,4.3991404
timemoe,zero_shot,0.15115204,9.855691,0.74461263,0.7747072,0.7747072,316231.9717414575,9.855690956115723,0.9685365,35.287277,4.8562155
timemoe,zero_shot,0.14142777,6.801035,0.45537978,0.6017797,0.6017797,81028.51541170715,6.801034927368164,0.9568798,23.520718,3.883542
timemoe,zero_shot,0.22384177,4.657693,1.1321974,0.940115,0.940115,643338.9862546263,4.657692909240723,0.94129336,23.800606,3.8699594
timemoe,zero_shot,0.14978307,2.4356678,0.3628406,0.52191967,0.52191967,104719.61135344126,2.4356677532196045,0.87646973,15.642562,3.2617855
timemoe,zero_shot,0.086203754,9.580261,0.14772171,0.34107924,0.34107924,17000.930868059186,9.58026123046875,0.93509686,18.62059,3.4013667
timemoe,zero_shot,0.13385938,5.662489,0.83961785,0.7878974,0.7878974,364164.6377870546,5.66248893737793,0.84009343,41.030254,5.089237
timemoe,zero_shot,0.1767723,8.380629,0.520677,0.6465168,0.6465168,183469.78529786528,8.38062858581543,0.9780968,17.165703,3.3327045
timemoe,zero_shot,0.18389457,5.085358,0.6893794,0.7319437,0.7319437,346031.9774192718,5.085358142852783,0.90232044,21.752413,3.8424256
timemoe,zero_shot,0.15620214,1.5328028,0.54509485,0.6632831,0.6632831,297586.44832490105,1.5328028202056885,0.9995145,20.952581,3.7085493
