model,mode,snr_gt,freq_true,mse_vs_clean,mae_vs_clean,crps_vs_clean,spectral_mse,peak_freq_error,sfer,mse_vs_noisy,mae_vs_noisy
timesfm,zero_shot,0.17864197,3.8559415,0.6497506,0.69577456,0.8579382,242126.47949933645,3.8559415340423584,0.8975421,20.865618,3.7348762
timesfm,zero_shot,0.0844226,7.432111,0.34128565,0.46834552,0.89529854,112983.03134791896,7.432110786437988,0.522429,22.188702,3.8430634
timesfm,zero_shot,0.13349514,5.693845,0.73350275,0.7581754,1.2122294,260597.64490601534,5.693844795227051,1.0591735,57.32859,6.165393
timesfm,zero_shot,0.08601155,2.8301275,1.0107951,0.8218217,1.1566722,1452471.727790112,2.830127477645874,0.31558374,49.03608,5.683676
timesfm,zero_shot,0.24562007,8.889417,1.0078473,0.89261425,0.8886223,823513.3491124669,8.889416694641113,1.0452276,15.229862,3.193325
timesfm,zero_shot,0.12438171,8.886419,0.15495944,0.3495366,0.52227855,14355.285958235625,8.886419296264648,0.897054,8.923887,2.3894427
timesfm,zero_shot,0.13564864,3.0906057,0.77169514,0.7472298,1.041353,307566.5934133538,3.0906057357788086,0.7307883,29.354397,4.3809137
timesfm,zero_shot,0.15115204,9.855691,1.656654,1.0397828,1.1881591,3535658.8391750692,9.855690956115723,0.43532595,35.082542,4.817099
timesfm,zero_shot,0.14142777,6.801035,0.46779326,0.604473,0.84367245,80576.64665826272,6.801034927368164,0.9314878,23.713009,3.8831904
timesfm,zero_shot,0.22384177,4.657693,1.4712832,1.0197222,1.006804,1126347.5077629054,4.657692909240723,0.72435397,24.119953,3.862329
timesfm,zero_shot,0.14978307,2.4356678,0.37381792,0.53967,0.71175945,89758.49337902591,0.06433224678039551,0.8507318,15.717463,3.2806168
timesfm,zero_shot,0.086203754,9.580261,0.15878841,0.34693056,0.7612581,17058.752322277316,9.58026123046875,0.8699256,18.849466,3.4280977
timesfm,zero_shot,0.13385938,5.662489,1.2983719,0.93912613,1.2396284,756867.4133419194,5.66248893737793,0.543263,42.371483,5.2023926
timesfm,zero_shot,0.1767723,8.380629,0.6023261,0.671999,0.83653104,200397.39040446002,8.38062858581543,0.8455095,17.270878,3.3471448
timesfm,zero_shot,0.18389457,5.085358,0.99438024,0.8337874,0.8379059,683972.2366420852,5.085358142852783,0.6255566,22.011295,3.8949797
timesfm,zero_shot,0.15620214,1.5328028,0.58178437,0.68524516,0.93170995,298521.10650944494,1.5328028202056885,0.93648136,21.234894,3.7422783
