model,mode,snr_gt,freq_true,mse_vs_clean,mae_vs_clean,crps_vs_clean,spectral_mse,peak_freq_error,sfer,mse_vs_noisy,mae_vs_noisy
chronos,zero_shot,0.17864197,3.8559415,0.5845399,0.68428755,0.54149055,209381.64,3.8559415340423584,0.99767107,20.632689,3.7128224
chronos,zero_shot,0.0844226,7.432111,0.3561956,0.489735,0.36757502,128400.086,7.432110786437988,0.5005607,22.627384,3.882008
chronos,zero_shot,0.13349514,5.693845,0.9105965,0.83887964,0.6221695,302221.28,5.693844795227051,0.85318434,57.8603,6.1844206
chronos,zero_shot,0.08601155,2.8301275,0.5514535,0.60498023,0.46985537,198375.4,2.830127477645874,0.5784541,48.24912,5.6366634
chronos,zero_shot,0.24562007,8.889417,1.1108513,0.9287926,0.79799014,841045.1,8.889416694641113,0.9483086,14.861189,3.1595106
chronos,zero_shot,0.12438171,8.886419,0.15360282,0.34341893,0.2615744,15046.373,8.886419296264648,0.9049768,9.057106,2.420721
chronos,zero_shot,0.13564864,3.0906057,0.65268314,0.706429,0.5493324,281742.03,3.0906057357788086,0.86404216,29.962349,4.5134535
chronos,zero_shot,0.15115204,9.855691,0.77179116,0.77691233,0.62199324,313909.34,9.855690956115723,0.9344296,35.70948,4.8929462
chronos,zero_shot,0.14142777,6.801035,0.5002996,0.6132681,0.48671344,97828.8,6.801034927368164,0.8709656,23.591179,3.8902092
chronos,zero_shot,0.22384177,4.657693,1.1674924,0.9556579,0.80566984,653144.7,4.657692909240723,0.9128367,23.894539,3.8768144
chronos,zero_shot,0.14978307,2.4356678,0.3162843,0.49535292,0.39471164,93680.53,2.4356677532196045,1.005484,15.499401,3.269041
chronos,zero_shot,0.086203754,9.580261,0.18134043,0.35703433,0.2693538,22963.527,9.58026123046875,0.7617392,18.596441,3.4055352
chronos,zero_shot,0.13385938,5.662489,0.76906383,0.7807796,0.60706866,266522.34,5.66248893737793,0.9171637,40.04258,5.025217
chronos,zero_shot,0.1767723,8.380629,0.63833755,0.68851453,0.5481109,229879.4,8.38062858581543,0.7978106,17.180054,3.3214927
chronos,zero_shot,0.18389457,5.085358,0.7260362,0.74229014,0.6090683,365023.25,5.085358142852783,0.85676324,21.822243,3.8440945
chronos,zero_shot,0.15620214,1.5328028,0.5746728,0.66906834,0.55825704,300947.5,1.5328028202056885,0.9480702,20.87189,3.694343
