model,mode,snr_gt,freq_true,mse_vs_clean,mae_vs_clean,crps_vs_clean,spectral_mse,peak_freq_error,sfer,mse_vs_noisy,mae_vs_noisy
lagllama,zero_shot,0.17864197,3.8559415,2.2913554,1.2008855,1.0648093,341722.0286475364,3.8559415340423584,0.25451246,19.985409,3.738572
lagllama,zero_shot,0.0844226,7.432111,2.4218285,1.2412283,1.1521116,204906.0700481972,3.0678892135620117,0.073621035,23.698128,3.9400115
lagllama,zero_shot,0.13349514,5.693845,4.588232,1.7082399,1.5549606,788469.3436631944,5.693844795227051,0.16932593,56.432518,6.0079927
lagllama,zero_shot,0.08601155,2.8301275,4.8061914,1.7913878,1.5538754,1094887.6617425685,11.169872522354126,0.06637074,53.194572,5.8882446
lagllama,zero_shot,0.24562007,8.889417,2.9541624,1.350436,1.1009183,828720.463979828,0.8894166946411133,0.35659173,17.69722,3.4263377
lagllama,zero_shot,0.12438171,8.886419,0.8591465,0.73802865,0.6572683,34998.82845575534,8.886419296264648,0.16179661,9.758383,2.4976673
lagllama,zero_shot,0.13564864,3.0906057,3.972477,1.6025498,1.3425694,1030066.2189396904,3.0906057357788086,0.14196326,35.750584,4.656093
lagllama,zero_shot,0.15115204,9.855691,4.4563665,1.6898322,1.4343493,780298.5534680466,9.855690956115723,0.1618324,39.86923,5.070615
lagllama,zero_shot,0.14142777,6.801035,2.8727357,1.2706151,1.1697669,246271.1492083996,6.198965072631836,0.1516825,25.59009,4.1307564
lagllama,zero_shot,0.22384177,4.657693,3.1797924,1.4977098,1.2083104,640843.0927971547,1.6576929092407227,0.33515707,25.022026,3.9608788
lagllama,zero_shot,0.14978307,2.4356678,1.5578302,0.993909,0.9077617,246633.6706274076,2.4356677532196045,0.20414214,17.606083,3.427886
lagllama,zero_shot,0.086203754,9.580261,2.8182669,1.2909522,1.145102,265478.237041836,3.41973876953125,0.04901385,21.545334,3.6972036
lagllama,zero_shot,0.13385938,5.662489,5.0757666,1.817862,1.5519762,734473.1415350598,5.66248893737793,0.1389657,44.665703,5.3451533
lagllama,zero_shot,0.1767723,8.380629,2.3597722,1.2572052,1.0762036,321842.32625249756,5.88062858581543,0.21581425,20.315615,3.6870737
lagllama,zero_shot,0.18389457,5.085358,3.0295112,1.3840497,1.1163948,255304.68190367523,0.0853581428527832,0.20532721,21.94454,3.7573557
lagllama,zero_shot,0.15620214,1.5328028,2.8474958,1.3617103,1.2029077,472319.2931943968,1.5328028202056885,0.19133662,24.169044,3.9806259
lagllama,zero_shot,0.14827792,7.80484,4.001985,1.6007318,1.4118981,530304.8491373141,4.804840087890625,0.18470316,35.845287,4.970644
lagllama,zero_shot,0.13671808,2.408162,2.8013082,1.3704066,1.1682662,279141.90416990494,16.591837882995605,0.16398361,29.721182,4.2464933
lagllama,zero_shot,0.07213984,3.3089912,3.9587467,1.5756655,1.3789532,2076909.2745106816,3.3089911937713623,0.040233355,29.685514,4.3230658
lagllama,zero_shot,0.06741712,9.816241,3.4466457,1.4569334,1.334473,368586.7865464954,1.8162412643432617,0.045077115,38.47238,5.21354
lagllama,zero_shot,0.063845605,9.173341,3.1222095,1.418052,1.3607869,495464.6371701012,9.173340797424316,0.04535793,37.26538,4.9317102
lagllama,zero_shot,0.23777266,4.0780478,4.055972,1.6534164,1.3360271,1430752.7090090958,4.078047752380371,0.268336,23.360428,3.8932033
lagllama,zero_shot,0.19239253,1.4816298,3.8059316,1.5892272,1.3484141,1374298.415473146,0.5183701515197754,0.28173482,29.098043,4.283514
lagllama,zero_shot,0.13275135,2.2020853,3.3405747,1.4384389,1.2587168,249731.1532854349,2.202085256576538,0.11968592,19.622398,3.502643
lagllama,zero_shot,0.19940522,3.1825366,3.5328891,1.5375891,1.2046375,4708063.676196176,3.1825366020202637,0.19066902,17.876785,3.3880048
lagllama,zero_shot,0.12862082,8.606263,1.5533777,0.9809958,0.8305694,328720.90835360554,8.606263160705566,0.09872048,9.882334,2.473073
lagllama,zero_shot,0.14158313,9.426365,5.0135937,1.7515414,1.4776728,954016.1536679233,6.926364898681641,0.14473493,35.52253,4.6656
lagllama,zero_shot,0.19974089,5.930628,1.8029604,1.0418423,0.9375129,249936.41670973704,7.069372177124023,0.25081062,14.519945,2.9935799
lagllama,zero_shot,0.11896219,6.357024,4.0269027,1.656877,1.4746912,886679.8590300255,6.357024192810059,0.1254343,42.452938,5.429847
lagllama,zero_shot,0.07833698,2.1731606,2.5825043,1.2173942,1.2048047,163060.02420856614,0.17316055297851562,0.06836581,24.594048,4.0246143
lagllama,zero_shot,0.16236866,2.0200405,2.2622216,1.1846681,1.0185518,255678.24241625672,5.979959487915039,0.17698283,19.032799,3.4466121
lagllama,zero_shot,0.084588,1.8997409,3.8051383,1.4521387,1.4264358,493649.3839535318,19.60025906562805,0.063594714,43.989986,5.305251
