model,mode,snr_gt,freq_true,mse_vs_clean,mae_vs_clean,crps_vs_clean,spectral_mse,peak_freq_error,sfer,mse_vs_noisy,mae_vs_noisy
moirai,zero_shot,0.17864197,3.8559415,2.3442917,1.1964285,1.3480036,300697.20067676145,3.6440584659576416,0.24876533,21.312775,3.7666953
moirai,zero_shot,0.0844226,7.432111,2.6255155,1.3423303,1.6384866,1061522.309059636,7.432110786437988,0.06790953,26.594086,4.2340946
moirai,zero_shot,0.13349514,5.693845,4.549306,1.709002,1.952737,895120.9503197734,26.30615520477295,0.17077477,62.742523,6.31649
moirai,zero_shot,0.08601155,2.8301275,5.4662647,1.9113436,1.8424895,23389261.226650294,2.830127477645874,0.05835621,52.593452,5.878169
moirai,zero_shot,0.24562007,8.889417,3.061873,1.4274023,1.5334656,951380.6089069489,12.110583305358887,0.34404755,16.490808,3.2800832
moirai,zero_shot,0.12438171,8.886419,0.9825786,0.8341636,0.8038512,182607.8929459346,8.886419296264648,0.14147162,10.782789,2.6546288
moirai,zero_shot,0.13564864,3.0906057,3.7030401,1.5111227,1.6822827,477119.50397817977,5.909394264221191,0.15229264,32.081512,4.5772862
moirai,zero_shot,0.15115204,9.855691,7.9521446,2.3416514,1.9427695,75016384.65437077,9.855690956115723,0.09069057,38.26696,4.9923797
moirai,zero_shot,0.14142777,6.801035,2.7514696,1.3346771,1.294568,171585.10990352684,5.801034927368164,0.15836763,26.16069,4.063264
moirai,zero_shot,0.22384177,4.657693,4.470294,1.7436273,1.5304022,9975386.580033267,4.657692909240723,0.23840263,27.111229,4.086926
moirai,zero_shot,0.14978307,2.4356678,1.9532368,1.0923777,1.1018578,197792.7662136624,2.4356677532196045,0.1628163,17.242682,3.3603477
moirai,zero_shot,0.086203754,9.580261,2.2678208,1.1443505,1.2852054,148409.50446783524,8.58026123046875,0.060910504,22.11303,3.7311757
moirai,zero_shot,0.13385938,5.662489,4.878563,1.7498914,1.9434837,11838323.688801397,5.66248893737793,0.14458303,48.471165,5.348487
moirai,zero_shot,0.1767723,8.380629,2.7891917,1.300991,1.2709162,987067.6392534464,8.38062858581543,0.18258783,19.39677,3.3945444
moirai,zero_shot,0.18389457,5.085358,4.457445,1.7826462,1.5549071,10853197.571669843,5.085358142852783,0.13955104,25.492764,4.2062964
moirai,zero_shot,0.15620214,1.5328028,4.021754,1.555792,1.5033622,1182291.7743693215,1.5328028202056885,0.1354708,25.7482,3.9204772
moirai,zero_shot,0.14827792,7.80484,2.977747,1.4178101,1.6892327,378748.29250570614,19.195159912109375,0.2482344,36.422123,4.85686
moirai,zero_shot,0.13671808,2.408162,2.7074895,1.3298421,1.4645288,502945.92151271674,2.4081621170043945,0.1696659,28.361048,4.153637
moirai,zero_shot,0.07213984,3.3089912,3.694852,1.5268719,1.54785,540488.694305753,6.191008806228638,0.04310691,33.375305,4.5102534
moirai,zero_shot,0.06741712,9.816241,2.5711207,1.3205826,1.4636072,478122.86687612906,9.816241264343262,0.060426895,38.640053,5.147567
moirai,zero_shot,0.063845605,9.173341,2.7282257,1.3069797,1.6731225,297842.42718326306,9.173340797424316,0.051908083,35.579876,4.773116
moirai,zero_shot,0.23777266,4.0780478,3.2788525,1.4618826,1.6679006,1786493.028787497,4.078047752380371,0.3319342,20.050295,3.6546578
moirai,zero_shot,0.19239253,1.4816298,3.5320294,1.5286314,1.5243192,1435371.1977028877,7.018370151519775,0.30358282,28.274303,4.208274
moirai,zero_shot,0.13275135,2.2020853,2.8938606,1.3894784,1.4198372,286977.829854578,7.297914743423462,0.13816138,19.817366,3.3494635
moirai,zero_shot,0.19940522,3.1825366,2.6186795,1.3419228,1.3319883,289846.33502124593,7.317463397979736,0.25723365,17.509346,3.3172712
moirai,zero_shot,0.12862082,8.606263,1.4009993,0.9746336,1.0434794,787270.9894764252,8.606263160705566,0.10945773,10.015581,2.5175815
moirai,zero_shot,0.14158313,9.426365,4.18757,1.6460137,1.7392025,883468.2448036385,9.42636489868164,0.17328477,29.534088,4.4778886
moirai,zero_shot,0.19974089,5.930628,1.971587,1.1176829,1.0524673,716472.0855319257,5.930627822875977,0.2293592,12.633392,2.8224757
moirai,zero_shot,0.11896219,6.357024,4.6080327,1.7581686,1.7041478,6417669.746321328,6.357024192810059,0.109615475,37.219425,5.0255175
moirai,zero_shot,0.07833698,2.1731606,3.8262544,1.5829229,1.5433358,7288036.013032378,2.1731605529785156,0.04614304,26.47583,4.0540156
moirai,zero_shot,0.16236866,2.0200405,1.449912,0.9860067,1.20929,194613.09913738188,21.47995948791504,0.27613702,18.363491,3.4213614
moirai,zero_shot,0.084588,1.8997409,5.543141,1.966984,1.8034024,8536835.30829077,1.8997409343719482,0.043655157,42.363537,5.2300797
