model,task,mode,metric,value,ci_lower,ci_upper
timesfm,forecasting,zero_shot,mse_vs_clean,0.7170278429985046,0.5732888117432594,0.8662910625338555
timesfm,forecasting,zero_shot,mae_vs_clean,0.6865563988685608,0.6145367711782456,0.7597180977463722
timesfm,forecasting,zero_shot,crps_vs_clean,0.9274463057518005,0.8749402612447739,0.9817449003458023
timesfm,forecasting,zero_shot,spectral_mse,486183.56014410034,266619.3867650795,775790.6760526292
timesfm,forecasting,zero_shot,peak_freq_error,5.088172905147076,4.057242232188583,6.184485097788274
timesfm,forecasting,zero_shot,sfer,0.7564340829849243,0.691939900815487,0.8226873368024825
timesfm,forecasting,zero_shot,mse_vs_noisy,25.792255401611328,22.6323673248291,29.379423856735226
timesfm,forecasting,zero_shot,mae_vs_noisy,4.003693103790283,3.743928325176239,4.291842663288116
baseline_repeat_last,forecasting,zero_shot,mse_vs_clean,36.7036018371582,19.88094940185547,55.747390460968
baseline_repeat_last,forecasting,zero_shot,mae_vs_clean,4.6751708984375,3.3492067456245422,5.974956130981445
baseline_repeat_last,forecasting,zero_shot,crps_vs_clean,4.6751708984375,3.3492067456245422,5.974956130981445
baseline_repeat_last,forecasting,zero_shot,spectral_mse,17019936068.897976,4204543514.2116175,32884604934.614433
baseline_repeat_last,forecasting,zero_shot,peak_freq_error,5.454349674284458,4.435158575326204,6.4535126119852055
baseline_repeat_last,forecasting,zero_shot,sfer,0.13957448303699493,0.0714212154969573,0.21206645369529725
baseline_repeat_last,forecasting,zero_shot,mse_vs_noisy,60.785701751708984,42.31169052124024,82.04557437896727
baseline_repeat_last,forecasting,zero_shot,mae_vs_noisy,6.113997459411621,5.148284208774567,7.12753905057907
baseline_zero,forecasting,zero_shot,mse_vs_clean,0.5068172216415405,0.41683080345392226,0.6066725581884383
baseline_zero,forecasting,zero_shot,mae_vs_clean,0.6120943427085876,0.5499938353896141,0.6718532711267471
baseline_zero,forecasting,zero_shot,crps_vs_clean,0.6120943427085876,0.5499938353896141,0.6718532711267471
baseline_zero,forecasting,zero_shot,spectral_mse,245093.84542557056,159418.99087081518,350145.8351980109
baseline_zero,forecasting,zero_shot,peak_freq_error,5.454349674284458,4.435158575326204,6.4535126119852055
baseline_zero,forecasting,zero_shot,sfer,1.0,1.0,1.0
baseline_zero,forecasting,zero_shot,mse_vs_noisy,25.618471145629883,22.48420524597168,29.19396467208862
baseline_zero,forecasting,zero_shot,mae_vs_noisy,3.9925880432128906,3.7350623846054076,4.27776825428009
baseline_seasonal_naive,forecasting,zero_shot,mse_vs_clean,26.59108543395996,19.14958987236023,34.47664127349854
baseline_seasonal_naive,forecasting,zero_shot,mae_vs_clean,3.957313299179077,3.3415401101112367,4.574899661540985
baseline_seasonal_naive,forecasting,zero_shot,crps_vs_clean,3.957313299179077,3.3415401101112367,4.574899661540985
baseline_seasonal_naive,forecasting,zero_shot,spectral_mse,1104678509.3208508,600598593.4530693,1804600197.4133399
baseline_seasonal_naive,forecasting,zero_shot,peak_freq_error,10.522070102393627,7.826412155479193,13.724176937155422
baseline_seasonal_naive,forecasting,zero_shot,sfer,0.05379968881607056,0.028170206956565382,0.08907560557126998
baseline_seasonal_naive,forecasting,zero_shot,mse_vs_noisy,51.18287658691406,41.18201322555542,61.4677788734436
baseline_seasonal_naive,forecasting,zero_shot,mae_vs_noisy,5.616558074951172,5.108223938941956,6.145790314674377
timemoe,forecasting,zero_shot,mse_vs_clean,0.5789273977279663,0.47841577380895617,0.6824672654271124
timemoe,forecasting,zero_shot,mae_vs_clean,0.6404974460601807,0.5767012149095535,0.6994603753089904
timemoe,forecasting,zero_shot,crps_vs_clean,0.6404974460601807,0.5767012149095535,0.6994603753089904
timemoe,forecasting,zero_shot,spectral_mse,292517.3061307104,197091.71128151377,401511.7573709084
timemoe,forecasting,zero_shot,peak_freq_error,5.454349674284458,4.435158575326204,6.4535126119852055
timemoe,forecasting,zero_shot,sfer,0.8698518872261047,0.8143425911664963,0.915161457657814
timemoe,forecasting,zero_shot,mse_vs_noisy,25.730541229248047,22.632016515731813,29.30807361602783
timemoe,forecasting,zero_shot,mae_vs_noisy,4.001857280731201,3.7491592884063722,4.287832987308502
baseline_repeat_last,forecasting,zero_shot,mse_vs_clean,36.7036018371582,19.88094940185547,55.747390460968
baseline_repeat_last,forecasting,zero_shot,mae_vs_clean,4.6751708984375,3.3492067456245422,5.974956130981445
baseline_repeat_last,forecasting,zero_shot,crps_vs_clean,4.6751708984375,3.3492067456245422,5.974956130981445
baseline_repeat_last,forecasting,zero_shot,spectral_mse,17019936068.897976,4204543514.2116175,32884604934.614433
baseline_repeat_last,forecasting,zero_shot,peak_freq_error,5.454349674284458,4.435158575326204,6.4535126119852055
baseline_repeat_last,forecasting,zero_shot,sfer,0.13957448303699493,0.0714212154969573,0.21206645369529725
baseline_repeat_last,forecasting,zero_shot,mse_vs_noisy,60.785701751708984,42.31169052124024,82.04557437896727
baseline_repeat_last,forecasting,zero_shot,mae_vs_noisy,6.113997459411621,5.148284208774567,7.12753905057907
baseline_zero,forecasting,zero_shot,mse_vs_clean,0.5068172216415405,0.41683080345392226,0.6066725581884383
baseline_zero,forecasting,zero_shot,mae_vs_clean,0.6120943427085876,0.5499938353896141,0.6718532711267471
baseline_zero,forecasting,zero_shot,crps_vs_clean,0.6120943427085876,0.5499938353896141,0.6718532711267471
baseline_zero,forecasting,zero_shot,spectral_mse,245093.84542557056,159418.99087081518,350145.8351980109
baseline_zero,forecasting,zero_shot,peak_freq_error,5.454349674284458,4.435158575326204,6.4535126119852055
baseline_zero,forecasting,zero_shot,sfer,1.0,1.0,1.0
baseline_zero,forecasting,zero_shot,mse_vs_noisy,25.618471145629883,22.48420524597168,29.19396467208862
baseline_zero,forecasting,zero_shot,mae_vs_noisy,3.9925880432128906,3.7350623846054076,4.27776825428009
baseline_seasonal_naive,forecasting,zero_shot,mse_vs_clean,26.59108543395996,19.14958987236023,34.47664127349854
baseline_seasonal_naive,forecasting,zero_shot,mae_vs_clean,3.957313299179077,3.3415401101112367,4.574899661540985
baseline_seasonal_naive,forecasting,zero_shot,crps_vs_clean,3.957313299179077,3.3415401101112367,4.574899661540985
baseline_seasonal_naive,forecasting,zero_shot,spectral_mse,1104678509.3208508,600598593.4530693,1804600197.4133399
baseline_seasonal_naive,forecasting,zero_shot,peak_freq_error,10.522070102393627,7.826412155479193,13.724176937155422
baseline_seasonal_naive,forecasting,zero_shot,sfer,0.05379968881607056,0.028170206956565382,0.08907560557126998
baseline_seasonal_naive,forecasting,zero_shot,mse_vs_noisy,51.18287658691406,41.18201322555542,61.4677788734436
baseline_seasonal_naive,forecasting,zero_shot,mae_vs_noisy,5.616558074951172,5.108223938941956,6.145790314674377
timemoe,embedding,zero_shot,amplitude/rmse,0.2999376058578491,,
timemoe,embedding,zero_shot,amplitude/mae,0.25190699100494385,,
timemoe,embedding,zero_shot,amplitude/r2,-0.0020790871399760658,,
timemoe,embedding,zero_shot,amplitude/linear_probe_r2,0.0231592059135437,,
timemoe,embedding,zero_shot,amplitude/rmse_snr_low,0.36334118247032166,,
timemoe,embedding,zero_shot,amplitude/rmse_snr_mid,0.2755802571773529,,
timemoe,embedding,zero_shot,amplitude/rmse_snr_high,,,
timemoe,embedding,zero_shot,frequency_hz/rmse,2.9460182189941406,,
timemoe,embedding,zero_shot,frequency_hz/mae,2.5845985412597656,,
timemoe,embedding,zero_shot,frequency_hz/r2,-0.05889809899911391,,
timemoe,embedding,zero_shot,frequency_hz/linear_probe_r2,-0.15902018547058105,,
timemoe,embedding,zero_shot,frequency_hz/rmse_snr_low,3.4658334255218506,,
timemoe,embedding,zero_shot,frequency_hz/rmse_snr_mid,2.751005172729492,,
timemoe,embedding,zero_shot,frequency_hz/rmse_snr_high,,,
timemoe,embedding,zero_shot,phase_rad/rmse,2.0265355110168457,,
timemoe,embedding,zero_shot,phase_rad/mae,1.7923082113265991,,
timemoe,embedding,zero_shot,phase_rad/r2,-0.16875586316430247,,
timemoe,embedding,zero_shot,phase_rad/linear_probe_r2,-0.14107275009155273,,
timemoe,embedding,zero_shot,phase_rad/rmse_snr_low,2.1174685955047607,,
timemoe,embedding,zero_shot,phase_rad/rmse_snr_mid,1.9953036308288574,,
timemoe,embedding,zero_shot,phase_rad/rmse_snr_high,,,
moirai,forecasting,zero_shot,mse_vs_clean,3.3832855224609375,2.9309304118156434,3.83656302690506
moirai,forecasting,zero_shot,mae_vs_clean,1.4573191404342651,1.3483896285295487,1.560579964518547
moirai,forecasting,zero_shot,crps_vs_clean,1.5033280849456787,1.4154061049222946,1.5932879716157913
moirai,forecasting,zero_shot,spectral_mse,5264042.220686382,1631741.6119002772,10991999.065901078
moirai,forecasting,zero_shot,peak_freq_error,7.733728908002377,6.001034454628825,9.732093347609043
moirai,forecasting,zero_shot,sfer,0.15902827680110931,0.13197668120265008,0.18781705573201177
moirai,forecasting,zero_shot,mse_vs_noisy,28.351139068603516,24.7935519695282,32.22229681015015
moirai,forecasting,zero_shot,mae_vs_noisy,4.166604995727539,3.908967173099518,4.451043021678925
baseline_repeat_last,forecasting,zero_shot,mse_vs_clean,36.7036018371582,19.88094940185547,55.747390460968
baseline_repeat_last,forecasting,zero_shot,mae_vs_clean,4.6751708984375,3.3492067456245422,5.974956130981445
baseline_repeat_last,forecasting,zero_shot,crps_vs_clean,4.6751708984375,3.3492067456245422,5.974956130981445
baseline_repeat_last,forecasting,zero_shot,spectral_mse,17019936068.897976,4204543514.2116175,32884604934.614433
baseline_repeat_last,forecasting,zero_shot,peak_freq_error,5.454349674284458,4.435158575326204,6.4535126119852055
baseline_repeat_last,forecasting,zero_shot,sfer,0.13957448303699493,0.0714212154969573,0.21206645369529725
baseline_repeat_last,forecasting,zero_shot,mse_vs_noisy,60.785701751708984,42.31169052124024,82.04557437896727
baseline_repeat_last,forecasting,zero_shot,mae_vs_noisy,6.113997459411621,5.148284208774567,7.12753905057907
baseline_zero,forecasting,zero_shot,mse_vs_clean,0.5068172216415405,0.41683080345392226,0.6066725581884383
baseline_zero,forecasting,zero_shot,mae_vs_clean,0.6120943427085876,0.5499938353896141,0.6718532711267471
baseline_zero,forecasting,zero_shot,crps_vs_clean,0.6120943427085876,0.5499938353896141,0.6718532711267471
baseline_zero,forecasting,zero_shot,spectral_mse,245093.84542557056,159418.99087081518,350145.8351980109
baseline_zero,forecasting,zero_shot,peak_freq_error,5.454349674284458,4.435158575326204,6.4535126119852055
baseline_zero,forecasting,zero_shot,sfer,1.0,1.0,1.0
baseline_zero,forecasting,zero_shot,mse_vs_noisy,25.618471145629883,22.48420524597168,29.19396467208862
baseline_zero,forecasting,zero_shot,mae_vs_noisy,3.9925880432128906,3.7350623846054076,4.27776825428009
baseline_seasonal_naive,forecasting,zero_shot,mse_vs_clean,26.59108543395996,19.14958987236023,34.47664127349854
baseline_seasonal_naive,forecasting,zero_shot,mae_vs_clean,3.957313299179077,3.3415401101112367,4.574899661540985
baseline_seasonal_naive,forecasting,zero_shot,crps_vs_clean,3.957313299179077,3.3415401101112367,4.574899661540985
baseline_seasonal_naive,forecasting,zero_shot,spectral_mse,1104678509.3208508,600598593.4530693,1804600197.4133399
baseline_seasonal_naive,forecasting,zero_shot,peak_freq_error,10.522070102393627,7.826412155479193,13.724176937155422
baseline_seasonal_naive,forecasting,zero_shot,sfer,0.05379968881607056,0.028170206956565382,0.08907560557126998
baseline_seasonal_naive,forecasting,zero_shot,mse_vs_noisy,51.18287658691406,41.18201322555542,61.4677788734436
baseline_seasonal_naive,forecasting,zero_shot,mae_vs_noisy,5.616558074951172,5.108223938941956,6.145790314674377
lagllama,forecasting,zero_shot,mse_vs_clean,3.22512149810791,2.9152091205120088,3.540358155965805
lagllama,forecasting,zero_shot,mae_vs_clean,1.410078763961792,1.3314567774534225,1.4852437019348144
lagllama,forecasting,zero_shot,crps_vs_clean,1.2316155433654785,1.1643044590950011,1.2966033220291138
lagllama,forecasting,zero_shot,spectral_mse,722882.1611044761,494710.4201776135,1010263.30821841
lagllama,forecasting,zero_shot,peak_freq_error,5.430366195738316,4.133632983081043,7.014783153682946
lagllama,forecasting,zero_shot,sfer,0.16080869734287262,0.13326999582350255,0.18755655102431773
lagllama,forecasting,zero_shot,mse_vs_noisy,28.380826950073242,24.977467918395995,32.087383079528806
lagllama,forecasting,zero_shot,mae_vs_noisy,4.196995735168457,3.9305135548114776,4.488372790813446
baseline_repeat_last,forecasting,zero_shot,mse_vs_clean,36.7036018371582,19.88094940185547,55.747390460968
baseline_repeat_last,forecasting,zero_shot,mae_vs_clean,4.6751708984375,3.3492067456245422,5.974956130981445
baseline_repeat_last,forecasting,zero_shot,crps_vs_clean,4.6751708984375,3.3492067456245422,5.974956130981445
baseline_repeat_last,forecasting,zero_shot,spectral_mse,17019936068.897976,4204543514.2116175,32884604934.614433
baseline_repeat_last,forecasting,zero_shot,peak_freq_error,5.454349674284458,4.435158575326204,6.4535126119852055
baseline_repeat_last,forecasting,zero_shot,sfer,0.13957448303699493,0.0714212154969573,0.21206645369529725
baseline_repeat_last,forecasting,zero_shot,mse_vs_noisy,60.785701751708984,42.31169052124024,82.04557437896727
baseline_repeat_last,forecasting,zero_shot,mae_vs_noisy,6.113997459411621,5.148284208774567,7.12753905057907
baseline_zero,forecasting,zero_shot,mse_vs_clean,0.5068172216415405,0.41683080345392226,0.6066725581884383
baseline_zero,forecasting,zero_shot,mae_vs_clean,0.6120943427085876,0.5499938353896141,0.6718532711267471
baseline_zero,forecasting,zero_shot,crps_vs_clean,0.6120943427085876,0.5499938353896141,0.6718532711267471
baseline_zero,forecasting,zero_shot,spectral_mse,245093.84542557056,159418.99087081518,350145.8351980109
baseline_zero,forecasting,zero_shot,peak_freq_error,5.454349674284458,4.435158575326204,6.4535126119852055
baseline_zero,forecasting,zero_shot,sfer,1.0,1.0,1.0
baseline_zero,forecasting,zero_shot,mse_vs_noisy,25.618471145629883,22.48420524597168,29.19396467208862
baseline_zero,forecasting,zero_shot,mae_vs_noisy,3.9925880432128906,3.7350623846054076,4.27776825428009
baseline_seasonal_naive,forecasting,zero_shot,mse_vs_clean,26.59108543395996,19.14958987236023,34.47664127349854
baseline_seasonal_naive,forecasting,zero_shot,mae_vs_clean,3.957313299179077,3.3415401101112367,4.574899661540985
baseline_seasonal_naive,forecasting,zero_shot,crps_vs_clean,3.957313299179077,3.3415401101112367,4.574899661540985
baseline_seasonal_naive,forecasting,zero_shot,spectral_mse,1104678509.3208508,600598593.4530693,1804600197.4133399
baseline_seasonal_naive,forecasting,zero_shot,peak_freq_error,10.522070102393627,7.826412155479193,13.724176937155422
baseline_seasonal_naive,forecasting,zero_shot,sfer,0.05379968881607056,0.028170206956565382,0.08907560557126998
baseline_seasonal_naive,forecasting,zero_shot,mse_vs_noisy,51.18287658691406,41.18201322555542,61.4677788734436
baseline_seasonal_naive,forecasting,zero_shot,mae_vs_noisy,5.616558074951172,5.108223938941956,6.145790314674377
chronos,forecasting,zero_shot,mse_vs_clean,0.6228275299072266,0.4843456745147705,0.7662378549575806
chronos,forecasting,zero_shot,mae_vs_clean,0.6672126054763794,0.5833604335784912,0.7512194514274597
chronos,forecasting,zero_shot,crps_vs_clean,0.5319334268569946,0.4571089446544647,0.6098206639289856
chronos,forecasting,zero_shot,spectral_mse,270006.96875,177490.234375,378430.03125
chronos,forecasting,zero_shot,peak_freq_error,5.916880786418915,4.635655777156353,7.11536134071648
chronos,forecasting,zero_shot,sfer,0.8532787561416626,0.7928080558776855,0.9099916815757751
chronos,forecasting,zero_shot,mse_vs_noisy,26.278621673583984,20.624605178833008,32.878456115722656
chronos,forecasting,zero_shot,mae_vs_noisy,4.045580863952637,3.6049983501434326,4.518612861633301
baseline_repeat_last,forecasting,zero_shot,mse_vs_clean,38.017234802246094,15.165040016174316,66.66695404052734
baseline_repeat_last,forecasting,zero_shot,mae_vs_clean,4.767258644104004,2.8881707191467285,6.876509666442871
baseline_repeat_last,forecasting,zero_shot,crps_vs_clean,4.767258644104004,2.8881707191467285,6.876509666442871
baseline_repeat_last,forecasting,zero_shot,spectral_mse,16388728832.0,3049928448.0,37607694336.0
baseline_repeat_last,forecasting,zero_shot,peak_freq_error,5.916880786418915,4.635655777156353,7.11536134071648
baseline_repeat_last,forecasting,zero_shot,sfer,0.16640254855155945,0.051465801894664764,0.3170512020587921
baseline_repeat_last,forecasting,zero_shot,mse_vs_noisy,64.50848388671875,38.2714958190918,96.91043090820312
baseline_repeat_last,forecasting,zero_shot,mae_vs_noisy,6.298881530761719,4.822981357574463,7.96269416809082
baseline_zero,forecasting,zero_shot,mse_vs_clean,0.5421292781829834,0.4097124934196472,0.6844756007194519
baseline_zero,forecasting,zero_shot,mae_vs_clean,0.6382433176040649,0.5523828268051147,0.7249119281768799
baseline_zero,forecasting,zero_shot,crps_vs_clean,0.6382433176040649,0.5523828268051147,0.7249119281768799
baseline_zero,forecasting,zero_shot,spectral_mse,241245.203125,143875.375,356858.75
baseline_zero,forecasting,zero_shot,peak_freq_error,5.916880786418915,4.635655777156353,7.11536134071648
baseline_zero,forecasting,zero_shot,sfer,1.0,1.0,1.0
baseline_zero,forecasting,zero_shot,mse_vs_noisy,26.20885467529297,20.554563522338867,32.862030029296875
baseline_zero,forecasting,zero_shot,mae_vs_noisy,4.038112640380859,3.5954504013061523,4.514736652374268
baseline_seasonal_naive,forecasting,zero_shot,mse_vs_clean,30.212322235107422,21.054712295532227,41.4045524597168
baseline_seasonal_naive,forecasting,zero_shot,mae_vs_clean,4.256545543670654,3.524224042892456,4.897724151611328
