model,mode,snr_gt,freq_true,mse_vs_clean,mae_vs_clean,crps_vs_clean,spectral_mse,peak_freq_error,sfer,mse_vs_noisy,mae_vs_noisy
timesfm,zero_shot,0.17864197,3.8559415,0.6497501,0.69577444,0.8579382,242126.41243408516,3.8559415340423584,0.8975428,20.865616,3.734876
timesfm,zero_shot,0.0844226,7.432111,0.34128523,0.46834534,0.8952987,112982.31637978162,7.432110786437988,0.52242965,22.188702,3.8430634
timesfm,zero_shot,0.13349514,5.693845,0.73350286,0.75817525,1.2122294,260597.64082139404,5.693844795227051,1.0591733,57.32859,6.1653924
timesfm,zero_shot,0.08601155,2.8301275,1.0107963,0.8218223,1.1566725,1452474.6861138556,2.830127477645874,0.31558338,49.036087,5.683675
timesfm,zero_shot,0.24562007,8.889417,1.0078467,0.8926141,0.88862216,823513.2869030227,8.889416694641113,1.0452282,15.2298565,3.1933248
timesfm,zero_shot,0.12438171,8.886419,0.1549595,0.34953684,0.52227867,14355.283382702703,8.886419296264648,0.89705366,8.923887,2.389443
timesfm,zero_shot,0.13564864,3.0906057,0.77169496,0.74723005,1.041353,307566.2452986002,3.0906057357788086,0.73078847,29.354397,4.3809137
timesfm,zero_shot,0.15115204,9.855691,1.6566529,1.0397825,1.1881588,3535651.893705737,9.855690956115723,0.43532625,35.082542,4.8170986
timesfm,zero_shot,0.14142777,6.801035,0.46779332,0.60447276,0.84367263,80576.68348957923,6.801034927368164,0.9314877,23.713005,3.8831897
timesfm,zero_shot,0.22384177,4.657693,1.4712827,1.0197221,1.0068038,1126344.3978490697,4.657692909240723,0.7243542,24.119957,3.8623288
timesfm,zero_shot,0.14978307,2.4356678,0.37381804,0.53967,0.71175957,89758.48848004406,0.06433224678039551,0.85073155,15.717463,3.2806168
timesfm,zero_shot,0.086203754,9.580261,0.15878865,0.34693044,0.7612579,17058.77717885718,9.58026123046875,0.8699243,18.849468,3.4280982
timesfm,zero_shot,0.13385938,5.662489,1.2983704,0.9391253,1.2396283,756867.3877877159,5.66248893737793,0.5432637,42.37148,5.202392
timesfm,zero_shot,0.1767723,8.380629,0.60232556,0.6719985,0.8365309,200397.44811048638,8.38062858581543,0.8455103,17.270878,3.347145
timesfm,zero_shot,0.18389457,5.085358,0.994382,0.83378804,0.83790624,683975.5569241928,5.085358142852783,0.62555546,22.011295,3.89498
timesfm,zero_shot,0.15620214,1.5328028,0.5817846,0.6852452,0.93170977,298521.1470971822,1.5328028202056885,0.93648094,21.23489,3.742278
timesfm,zero_shot,0.14827792,7.80484,1.2946247,0.9416138,1.1200504,745964.3571230677,7.804840087890625,0.5709603,33.597343,4.79373
timesfm,zero_shot,0.13671808,2.408162,1.2131269,0.87895197,0.9445776,1728055.0470618103,2.4081621170043945,0.37866497,26.797745,4.023935
timesfm,zero_shot,0.07213984,3.3089912,0.26481983,0.42699814,0.9571678,12842.69381889286,3.3089911937713623,0.60144156,27.713785,4.2171373
timesfm,zero_shot,0.06741712,9.816241,0.24305946,0.40853497,0.96918195,12373.728701890424,9.816241264343262,0.6392051,35.314636,4.8779697
timesfm,zero_shot,0.063845605,9.173341,0.12855092,0.30156368,0.99198127,4670.887532989775,0.1733407974243164,1.101641,35.871056,4.85147
timesfm,zero_shot,0.23777266,4.0780478,1.655989,1.1398528,1.0337873,386771.79435810464,0.0780477523803711,0.6572285,19.722301,3.5809631
timesfm,zero_shot,0.19239253,1.4816298,1.3378563,1.0361444,1.015232,1188341.9045281927,1.4816298484802246,0.8014788,26.209452,4.1028547
timesfm,zero_shot,0.13275135,2.2020853,0.45419636,0.5914276,0.8135013,67465.5571783799,2.202085256576538,0.88027954,18.290073,3.2366939
timesfm,zero_shot,0.19940522,3.1825366,0.8670192,0.8082056,0.88962543,269257.8593696275,3.1825366020202637,0.77692914,16.08006,3.1970503
timesfm,zero_shot,0.12862082,8.606263,0.2530352,0.40804395,0.59830904,54831.93907939482,8.606263160705566,0.606043,8.643408,2.3426342
timesfm,zero_shot,0.14158313,9.426365,0.7837084,0.7889678,1.1007975,471017.94123467006,8.92636489868164,0.9259083,27.080975,4.185322
timesfm,zero_shot,0.19974089,5.930628,0.47934806,0.6159947,0.67401415,185646.19826933954,5.930627822875977,0.94336796,12.010387,2.734669
timesfm,zero_shot,0.11896219,6.357024,0.6602663,0.691644,0.9747646,199697.1123037487,6.357024192810059,0.7650121,35.500313,4.854664
timesfm,zero_shot,0.07833698,2.1731606,0.24336368,0.4161649,0.92897046,16104.335513045691,6.826839447021484,0.72547805,22.736269,3.9069185
timesfm,zero_shot,0.16236866,2.0200405,0.46038184,0.60265315,0.75304925,162654.83250058917,2.020040512084961,0.8696572,18.687828,3.463165
timesfm,zero_shot,0.084588,1.8997409,0.33051056,0.4988104,0.98145187,49410.08408115846,1.3997409343719482,0.7321603,37.798424,4.9001937
