snr_gt,snr_raw,snr_denoised,amplitude_true,amplitude_raw,amplitude_denoised,amplitude_signal,frequency_hz_true,frequency_hz_raw,frequency_hz_denoised,frequency_hz_signal,phase_rad_true,phase_rad_raw,phase_rad_denoised,phase_rad_signal
0.17864197,0.031492237,0.99269277,1.0738392,1.0100698,0.25955057,1.0777969,3.8559415,5.5732393,5.551329,3.9089546,2.5414557,3.557686,3.0124648,2.5223727
0.0844226,0.007367874,0.89634126,0.59904283,1.0103935,0.441701,0.619197,7.432111,5.3741827,4.904411,7.434448,2.2441943,3.1634388,2.1316488,2.257924
0.13349514,0.016634738,1.0008547,1.243649,1.0101672,0.33775693,1.2145747,5.693845,5.593323,5.8044558,5.7349496,0.8462982,2.9155264,0.91972995,0.89397657
0.08601155,0.0075290455,0.99450773,0.79235786,1.0271763,0.27098978,0.77611923,2.8301275,5.7080708,4.648019,2.8377872,3.0445719,3.5971277,5.0079837,3.042121
0.24562007,0.061156437,1.3237869,1.4584496,1.0210906,0.45179343,1.27021,8.889417,5.473526,8.373066,8.852982,2.1403117,3.321384,1.5827463,2.070452
0.12438171,0.017006416,0.43053117,0.52520466,1.0161604,0.52030736,0.53105724,8.886419,5.2935023,3.8340504,8.833885,4.0549026,3.3746552,3.777915,4.0583534
0.13564864,0.018042501,1.0206802,1.0644503,1.0096409,0.37065196,1.0259149,3.0906057,5.4391756,3.9752672,3.1262395,5.141581,3.087194,1.1827564,5.0368757
0.15115204,0.022295883,1.0286446,1.2037977,1.0052962,0.45713508,1.1982998,9.855691,5.2749767,2.6676064,9.810924,1.3099765,3.1319506,0.33265328,1.3322761
0.14142777,0.022406297,1.1882801,0.93083626,1.0230968,0.30210888,0.9415279,6.801035,5.5694685,5.657233,6.8306217,2.5068567,3.5981476,1.361752,2.481218
0.22384177,0.048317075,1.3320389,1.465273,1.0230043,0.6396283,1.3857635,4.657693,5.6039257,6.6750803,4.653659,1.2898626,3.528466,1.2644725,1.2920281
0.14978307,0.02314029,0.8466495,0.79966414,1.003749,0.4737631,0.8637811,2.4356678,5.4046593,7.296234,2.3972156,1.51451,3.191325,2.02045,1.529276
0.086203754,0.0069390917,0.3714119,0.5235437,1.0189146,0.6153196,0.5397432,9.580261,5.726671,9.679834,9.583094,3.6576593,3.359499,2.672895,3.6255999
0.13385938,0.017233124,1.0449672,1.1843839,0.99853855,0.35070962,1.1498303,5.662489,5.4867797,5.6734815,5.639161,5.790342,2.8778298,1.5750731,5.6801043
0.1767723,0.030838473,1.1330985,1.0145509,0.99551445,0.397385,1.0246034,8.380629,5.5105653,7.782153,8.372316,2.3601038,2.6916668,4.2920094,2.3086772
0.18389457,0.033229467,1.3387004,1.1083646,1.0086384,0.47499114,1.1272414,5.085358,5.4892135,6.804596,5.1330347,3.0361211,2.967104,1.4533217,3.0335953
0.15620214,0.023716418,1.0012373,1.052643,1.0219882,0.2936586,1.0769806,1.5328028,5.637928,7.375573,1.5008361,1.6876518,3.323512,1.5060836,1.6645523
0.14827792,0.022009132,0.9933876,1.2199957,1.0038443,0.37195605,1.1824377,7.80484,5.319004,6.095486,7.8034973,0.5966287,2.9684062,1.5836328,0.6953436
0.13671808,0.019961633,1.0419785,0.9734657,1.0160804,0.16350466,0.9967391,2.408162,5.4621263,5.5113354,2.4249334,3.7460413,3.1283026,2.6390865,3.7127335
0.07213984,0.00535342,0.81174284,0.568268,1.0138148,0.4955302,0.5846492,3.3089912,5.5956264,6.237174,3.3627982,0.27208176,3.0016055,3.0473719,0.23527431
0.06741712,0.0046598422,0.88471895,0.55775625,0.9995145,0.25439954,0.6138617,9.816241,5.5762153,4.780466,9.823946,0.57977027,2.8216746,2.117801,0.54231906
0.063845605,0.0040810658,0.91873735,0.5301848,1.023888,0.3024779,0.5417253,9.173341,5.653237,4.4513855,9.128639,4.5965757,3.2210343,4.3005233,4.516771
0.23777266,0.051749118,0.9999486,1.4643229,0.9652977,0.33456272,1.3402553,4.0780478,5.211922,3.5900478,4.0971894,0.28477865,2.399224,1.1845021,0.28500867
0.19239253,0.04089126,1.0147265,1.4564835,1.0194957,0.21082872,1.3805933,1.4816298,5.528978,5.1960297,1.5707238,0.8706361,3.1503375,4.7060013,0.86848366
0.13275135,0.017377159,0.7519063,0.8884323,1.0032827,0.52543414,0.9724975,2.2020853,5.400337,3.658431,2.2269,0.11788084,2.9268348,3.8573909,0.0024738312
0.19940522,0.037256993,1.0123891,1.1715602,1.0215739,0.41054767,1.1242689,3.1825366,5.6661,5.3850374,3.1716256,5.415853,3.5187745,2.5196743,5.3553433
0.12862082,0.015015956,1.0935978,0.5529519,1.0207486,0.28734756,0.5984451,8.606263,5.4932218,6.1441083,8.624474,6.040098,3.4380126,5.1478424,5.9822865
0.14158313,0.020954734,1.1029193,1.206986,1.0054699,0.48537797,1.2534643,9.426365,5.47595,5.306321,9.562797,5.6657276,3.0875106,0.914153,5.5051975
0.19974089,0.039887577,0.951117,0.95620984,0.99739313,0.47168624,0.94396067,5.930628,5.2549706,3.9528003,6.006661,2.621245,2.94875,1.036741,2.5811467
0.11896219,0.01437825,0.88201684,0.99863076,1.0114347,0.48050046,0.9948586,6.357024,5.462767,5.032684,6.441241,2.1503775,3.12615,3.886687,2.1024253
0.07833698,0.0065881815,0.88606316,0.60147464,1.0288129,0.3832159,0.6516671,2.1731606,5.646403,4.780029,2.3288324,0.07024779,3.3005002,0.82958126,0.47332358
0.16236866,0.024226822,0.9939385,0.89078605,1.0020094,0.34326488,0.98336136,2.0200405,5.3728595,7.0726647,2.0737936,0.341186,3.185032,3.3146455,0.35816073
0.084588,0.006756243,0.92672265,0.6826331,1.0023364,0.18442029,0.70942605,1.8997409,5.3415203,5.7410994,1.8083222,5.6248574,2.9501631,3.3717294,5.559272
0.10987852,0.012149128,0.2928083,0.50648546,1.020585,0.5992367,0.5684577,2.9828417,5.6031995,9.4019985,2.8253698,5.9876385,3.074331,4.869584,5.9590845
0.14535269,0.02235054,1.0172774,0.9129387,1.0193683,0.27700418,1.0104685,4.6851063,5.5806956,4.480176,4.708687,4.1331167,3.3025603,3.5291464,4.0258656
0.13097066,0.017172502,0.9210286,0.6042094,1.0149204,0.22702873,0.70633596,3.0473177,5.4029512,6.5261803,2.9638145,6.01077,3.5432825,3.2074473,5.9527254
0.2187379,0.045254026,1.6107345,0.68536407,1.0118446,0.5220082,0.66250485,7.906849,5.5858803,7.3877273,7.8489957,3.3182993,3.0814073,3.364964,3.3466656
0.11632129,0.013922643,0.8377495,0.8076936,1.021485,0.49099672,0.8282389,7.051041,5.6646805,6.32454,7.098502,0.5091904,3.391651,3.944439,0.5383215
0.11422386,0.013930683,0.9363846,0.9533255,1.010806,0.5434827,1.0517228,9.518758,5.374774,5.2401576,9.479099,1.2505116,3.10963,0.3902638,1.2463099
0.082075305,0.0076122135,0.9518422,0.74080384,1.0087845,0.43015134,0.8107491,8.06357,5.3403845,4.9509516,8.036104,3.1939578,3.6079006,2.7456555,3.1660542
0.22383696,0.0537182,0.99934125,1.4526553,1.0087608,0.33889395,1.3580832,8.122998,5.48467,5.900112,8.150471,0.91033876,3.342447,3.708067,1.0165262
0.23989367,0.05481393,1.5498277,1.4192963,0.98289335,0.6574824,1.3204589,6.8306527,5.441844,6.7124577,6.8162575,0.3429379,2.5291538,5.809622,0.36753774
0.098318145,0.010228026,0.95053774,0.74837947,1.0168097,0.4219035,0.82850593,1.3555709,5.573649,4.5367436,1.3447855,0.28523842,3.3561954,2.3034246,0.35951376
0.13824923,0.020605404,1.9284863,0.9487319,1.002484,0.5152739,0.76432544,7.1858406,5.4090743,7.480572,7.4039516,0.77517575,3.5481982,1.7954246,0.87173307
0.12204603,0.014255906,1.004596,1.1074042,1.0141618,0.41797608,1.2327442,7.596511,5.491087,5.6373663,7.5491257,4.0889764,3.0802274,2.2831197,4.1539526
0.09136513,0.009422563,0.89476436,0.68638355,1.0230621,0.24075258,0.680957,1.1518427,5.667152,4.5767436,1.1275306,4.69415,3.5584707,2.5411024,4.644917
0.253579,0.057814732,1.1304569,1.1283199,1.0072128,0.18514854,1.1296598,8.454689,5.529899,6.456952,8.453901,2.7277508,2.959238,2.3207078,2.7272618
0.12128972,0.014893949,1.5712801,0.920535,1.0152371,0.47815722,0.90935975,2.4508338,5.4273825,3.460495,2.4431102,5.6757326,3.4948056,2.0593472,5.671667
0.050612584,0.0025532958,0.80480385,0.53106445,1.0112247,0.3336783,0.5533899,7.0645943,5.532446,2.794199,7.026359,3.07999,2.8901372,1.4703441,3.0560555
0.08724453,0.007323257,0.91378546,0.75692034,1.0181454,0.43428344,0.7598936,4.221943,5.5787582,3.3344474,4.236068,3.1997333,3.1948786,1.569822,3.2386017
0.1109124,0.013059588,0.9719231,0.6833017,1.0239888,0.39930224,0.67934275,9.786577,5.640949,5.1514497,9.690582,4.2937193,3.4760122,2.0566258,4.2710376
0.1445484,0.019575367,1.0066245,1.3228012,1.0153328,0.36174065,1.1965213,7.465481,5.5046024,6.850754,7.505519,1.8192993,3.2509193,1.6895801,1.8073742
0.15759379,0.022912456,0.9555426,0.99752235,1.0215918,0.18513966,0.95442235,7.9984713,5.446857,5.064605,8.103679,5.620398,3.5666406,4.641577,5.5421925
0.104085736,0.011736262,1.003326,0.68006283,0.992289,0.6692616,0.66200703,3.736722,5.339665,5.372848,3.6865468,6.272412,3.2713568,0.2578857,3.5414672
0.15694624,0.023465782,0.97979105,1.0689433,1.0124046,0.4139294,1.0568391,4.8289733,5.4787908,3.3893042,4.8463616,5.1312017,3.1690047,2.0832672,5.07652
0.1043316,0.012848387,0.87748814,0.93622416,1.0192715,0.52556777,0.95143145,6.041635,5.468524,7.280139,6.0798545,3.5109222,3.527677,1.4469367,3.4683855
0.0969622,0.009229988,0.9746234,0.92752427,1.0061595,0.3901856,0.9642463,4.952629,5.2489357,3.5024004,4.886465,5.1799827,3.5206988,3.7978907,5.1086454
0.084505714,0.007687273,0.9786822,0.7014237,1.0175325,0.18183875,0.68825454,9.427956,5.495362,5.698751,9.435135,4.473084,3.3045983,3.1167417,4.483326
0.19687685,0.032865997,0.9932425,1.1391433,1.0146803,0.36599272,1.1768388,6.8471875,5.537231,5.463573,6.7158413,0.07279228,3.568568,4.0285206,-0.076122046
0.2714182,0.07491555,1.3228333,1.3202965,1.0091467,0.5007146,1.2292323,7.8891783,5.487133,7.40941,7.840102,2.377259,3.115709,1.3169479,2.3455882
0.12424085,0.014619741,0.90359324,0.98505384,1.0230097,0.48519737,1.0076821,7.684982,5.6195145,6.407639,7.7646637,1.476352,3.494376,1.2692986,1.440205
0.07640461,0.005799047,0.78558576,0.64877725,0.99899775,0.45887095,0.6457311,9.485912,5.455715,7.9028444,9.464483,1.0487684,2.7118993,1.6313517,1.045015
0.10552582,0.011913488,0.8826207,0.76162386,0.99397564,0.31162935,0.80694216,1.7887359,5.4590745,5.5527043,1.8198845,2.2235553,2.727315,3.494899,2.2332065
0.09883853,0.010216826,0.94337004,0.8139327,0.9877014,0.34244365,0.80574495,3.8443701,5.349277,3.6256337,3.8907704,2.8251636,2.6025352,1.5255653,2.7904553
0.2198696,0.04869148,0.9948872,1.3831453,1.0072607,0.42883384,1.2552308,2.2728322,5.4614305,6.3487353,2.261379,4.174539,2.979431,5.170149,4.1170692
0.15444446,0.024686938,1.0309747,1.1238396,1.007337,0.18909186,1.2905577,2.811126,5.5493994,5.2115993,2.7426987,0.585593,2.8533475,3.7272315,0.6483307
0.22340412,0.053849418,0.9720113,1.4266083,1.0163186,0.46718603,1.3321034,4.084276,5.524826,6.823943,4.116882,3.2873945,3.3036506,5.415854,3.2921047
0.12940568,0.017007945,1.0629587,0.8219453,1.01077,0.5497551,0.8436264,2.645982,5.4437027,6.120173,2.6614237,2.7825348,3.2048545,0.4013183,2.7847478
0.16918595,0.03268561,1.6348956,1.3729186,1.0043415,0.5016407,1.3508657,9.533247,5.4258327,9.623926,9.403557,6.0356073,3.0681243,3.8043225,6.0481734
0.22006142,0.05232243,1.0129797,1.2916687,1.0072958,0.51643324,1.3462237,3.527658,5.4749064,6.7174077,3.4916592,5.8536086,3.2989788,5.427714,5.857554
0.20811982,0.04416352,1.0050981,1.4488988,1.0199382,0.19109088,1.3554308,5.4403033,5.4816837,5.901613,5.4746823,0.8725331,3.5521429,2.7513266,0.9099101
0.117981106,0.016030788,0.965841,0.74177796,1.0017424,0.42969078,0.7151488,8.523619,5.2934012,4.0727696,8.471248,3.3517106,3.0426545,1.9027181,3.387081
0.18208514,0.036854897,1.016322,1.4471735,1.0128727,0.30004615,1.3787094,2.1160262,5.586673,4.516689,2.0930376,4.1801195,2.9068778,4.339458,4.1815724
0.17813984,0.03239054,1.0779902,1.1594443,0.99622035,0.44249332,1.1876028,2.3035803,5.4636426,5.3718367,2.3759775,6.0739193,2.8232791,1.8754587,6.000538
0.1905091,0.040888697,1.8264027,1.2345202,1.0168227,0.502689,1.1416719,2.8158967,5.420863,3.0291786,2.8874662,4.0863314,3.620731,3.6800025,4.0781674
0.093623415,0.009514014,0.97375846,0.6858847,1.0132778,0.2962554,0.7238053,1.5273591,5.563564,5.406977,1.5203006,0.44420606,3.2706265,1.396697,0.48020172
0.21627924,0.042966466,2.2602503,0.71605325,1.0025138,0.49114764,0.66567475,6.6855383,5.317729,6.3354974,6.6927075,4.287944,3.454495,3.7663865,4.2616625
0.1625479,0.027450377,0.85163444,1.4943218,1.024235,0.6209072,1.3445433,8.970843,5.438018,6.180254,8.977358,4.4653,3.4272702,5.5340986,4.484309
0.14530915,0.020474147,1.478234,1.2839857,1.0258021,0.54166436,1.3097907,7.011164,5.632084,6.306107,6.816477,0.6090918,3.3926463,5.458699,0.6838939
0.25417355,0.06818463,1.1422242,1.3890454,1.0155247,0.41110635,1.2781532,5.036851,5.5728374,4.362667,5.062357,3.5201654,3.027089,3.043376,3.486025
0.090475775,0.009429108,0.95657575,0.7621947,1.0158619,0.36422753,0.72892904,9.462113,5.310055,6.137743,9.407641,3.7134495,3.5380254,3.867651,3.6624126
0.11081355,0.011954568,0.76154983,0.99506193,1.0076684,0.5482023,0.9093812,6.985898,5.4297695,6.45007,6.995162,5.7187824,2.9600375,1.0323625,5.645827
0.13491128,0.017586688,0.9618442,1.0295743,1.0160652,0.36542618,0.93602467,7.751702,5.5760007,4.2490892,7.8012185,0.09338591,3.5216084,2.3189857,0.48936296
0.08811081,0.008257765,0.92208457,0.7663916,1.007735,0.2515651,0.8364225,6.4515386,5.403288,5.724815,6.411608,5.8078327,3.1751726,2.0057116,5.832869
0.056744594,0.0031022998,0.79893774,0.6445202,1.0265304,0.46566665,0.69555247,2.1264958,5.549283,3.2047038,2.1446366,3.271675,3.5150464,2.294114,3.3381302
0.08884897,0.007875016,0.88342446,0.6859423,1.0189879,0.29292494,0.66731215,4.5756483,5.6649613,5.2468452,4.540532,0.42496347,3.155388,1.3495513,0.41904235
