snr_gt,snr_raw,snr_denoised,amplitude_true,amplitude_raw,amplitude_denoised,amplitude_signal,frequency_hz_true,frequency_hz_raw,frequency_hz_denoised,frequency_hz_signal,phase_rad_true,phase_rad_raw,phase_rad_denoised,phase_rad_signal
0.17864197,0.031492237,0.5049742,1.0738392,1.0100698,1.0687366,1.0777969,3.8559415,5.5732393,8.848915,3.9089546,2.5414557,3.557686,2.4528272,2.5223727
0.0844226,0.007367874,0.31493357,0.59904283,1.0103935,0.91238093,0.619197,7.432111,5.3741827,2.6245093,7.434448,2.2441943,3.1634388,2.737561,2.257924
0.13349514,0.016634738,0.55628663,1.243649,1.0101672,1.2267795,1.2145747,5.693845,5.593323,5.691519,5.7349496,0.8462982,2.9155264,5.254366,0.89397657
0.08601155,0.0075290455,0.4288205,0.79235786,1.0271763,1.1647948,0.77611923,2.8301275,5.7080708,6.5100074,2.8377872,3.0445719,3.5971277,3.8551493,3.042121
0.24562007,0.061156437,0.6552745,1.4584496,1.0210906,0.93153024,1.27021,8.889417,5.473526,7.7158995,8.852982,2.1403117,3.321384,0.092689276,2.070452
0.12438171,0.017006416,0.25276384,0.52520466,1.0161604,0.7842583,0.53105724,8.886419,5.2935023,7.836156,8.833885,4.0549026,3.3746552,4.221556,4.0583534
0.13564864,0.018042501,0.66724163,1.0644503,1.0096409,0.5244788,1.0259149,3.0906057,5.4391756,4.971015,3.1262395,5.141581,3.087194,4.95525,5.0368757
0.15115204,0.022295883,0.6260963,1.2037977,1.0052962,0.8883693,1.1982998,9.855691,5.2749767,4.0058937,9.810924,1.3099765,3.1319506,1.7280366,1.3322761
0.14142777,0.022406297,0.54332685,0.93083626,1.0230968,0.9528571,0.9415279,6.801035,5.5694685,3.2218747,6.8306217,2.5068567,3.5981476,5.0077205,2.481218
0.22384177,0.048317075,0.72158694,1.465273,1.0230043,1.291982,1.3857635,4.657693,5.6039257,7.6300898,4.653659,1.2898626,3.528466,4.2404237,1.2920281
0.14978307,0.02314029,0.3758889,0.79966414,1.003749,1.2342242,0.8637811,2.4356678,5.4046593,2.7846227,2.3972156,1.51451,3.191325,4.5259876,1.529276
0.086203754,0.0069390917,0.27464765,0.5235437,1.0189146,1.082854,0.5397432,9.580261,5.726671,9.028448,9.583094,3.6576593,3.359499,3.4903488,3.6255999
