snr_gt,snr_raw,snr_denoised,amplitude_true,amplitude_raw,amplitude_denoised,amplitude_signal,frequency_hz_true,frequency_hz_raw,frequency_hz_denoised,frequency_hz_signal,phase_rad_true,phase_rad_raw,phase_rad_denoised,phase_rad_signal
0.17864197,0.03149223,0.18218574,1.0738392,1.0100697,1.3875053,1.0205905,3.8559415,5.573239,7.9377255,3.87115,2.5414557,3.5576854,4.243525,2.5506654
0.0844226,0.0073678745,0.049708758,0.59904283,1.0103934,1.6030073,0.5860539,7.432111,5.374183,7.6393633,7.4641314,2.2441943,3.1634393,3.7076614,2.339816
0.13349514,0.016634736,0.10277652,1.243649,1.0101671,1.74423,1.3160164,5.693845,5.593323,7.14999,5.589554,0.8462982,2.9155257,5.083975,0.90177023
0.08601155,0.007529046,0.04971969,0.79235786,1.0271763,1.5500743,0.80416244,2.8301275,5.7080708,7.872113,2.818637,3.0445719,3.5971293,4.6006975,3.0466948
0.24562007,0.061156437,0.3222401,1.4584496,1.0210906,1.4536676,1.324446,8.889417,5.4735265,8.28063,8.894825,2.1403117,3.3213842,3.9601057,2.1157007
0.12438171,0.01700642,0.1114026,0.52520466,1.0161602,1.1970247,0.5592772,8.886419,5.2935023,7.2232347,8.862539,4.0549026,3.374654,5.3831844,4.095803
0.13564864,0.018042503,0.1091946,1.0644503,1.0096408,1.6030395,1.0692558,3.0906057,5.439175,7.4675007,3.0184653,5.141581,3.0871933,5.152921,5.114547
0.15115204,0.02229588,0.12524962,1.2037977,1.0052962,1.5950569,1.2341797,9.855691,5.274977,7.0503902,9.834562,1.3099765,3.13195,5.381376,1.311854
0.14142777,0.022406297,0.13273408,0.93083626,1.0230969,1.2189071,0.99043447,6.801035,5.5694695,7.9500265,6.805938,2.5068567,3.598147,3.756922,2.574187
0.22384177,0.048317082,0.22979611,1.465273,1.0230044,1.4789364,1.4105093,4.657693,5.603926,7.866069,4.664445,1.2898626,3.5284655,4.4410386,1.3321419
0.14978307,0.02314029,0.14478901,0.79966414,1.0037491,1.3306158,0.8861126,2.4356678,5.4046597,7.6253757,2.3951912,1.51451,3.191325,4.903002,1.5172688
0.086203754,0.0069390917,0.04244265,0.5235437,1.0189147,1.6066909,0.56757104,9.580261,5.7266703,6.8305216,9.601936,3.6576593,3.3594987,5.1523924,3.6575341
0.13385938,0.017233122,0.103638604,1.1843839,0.99853873,1.6276324,1.1056633,5.662489,5.48678,7.8975687,5.7740593,5.790342,2.87783,3.9542751,5.7130356
0.1767723,0.030838473,0.16786991,1.0145509,0.9955146,1.5071782,1.0349275,8.380629,5.510565,7.4633183,8.391841,2.3601038,2.6916664,4.9181786,2.4043841
0.18389457,0.03322947,0.18747678,1.1083646,1.0086385,1.3344346,1.1445524,5.085358,5.489214,7.9414363,5.116209,3.0361211,2.967104,4.1756277,3.0478399
0.15620214,0.023716418,0.13900544,1.052643,1.0219883,1.6023656,1.0201101,1.5328028,5.6379285,7.4100723,1.514266,1.6876518,3.3235123,4.7923994,1.7055672
0.14827792,0.02200913,0.15347263,1.2199957,1.0038444,1.5443945,1.3122622,7.80484,5.319003,7.8831797,7.7795315,0.5966287,2.9684067,4.653276,0.6311779
0.13671808,0.01996163,0.12671508,0.9734657,1.0160804,1.5248842,1.0648972,2.408162,5.4621263,7.7238674,2.4467425,3.7460413,3.1283026,4.3720694,3.698122
0.07213984,0.00535342,0.035741337,0.568268,1.0138148,1.6040237,0.6211542,3.3089912,5.595627,7.305254,3.3374119,0.27208176,3.0016053,5.2067585,0.44511366
0.06741712,0.0046598422,0.03549247,0.55775625,0.99951476,1.5762991,0.6460925,9.816241,5.5762157,7.1709423,9.73836,0.57977027,2.8216746,4.803523,0.58180237
