snr_gt,snr_raw,snr_denoised,amplitude_true,amplitude_raw,amplitude_denoised,amplitude_signal,frequency_hz_true,frequency_hz_raw,frequency_hz_denoised,frequency_hz_signal,phase_rad_true,phase_rad_raw,phase_rad_denoised,phase_rad_signal
0.17864197,0.031492237,0.25797746,1.0738392,1.0100698,1.422551,1.0777969,3.8559415,5.5732393,5.8076835,3.9089546,2.5414557,3.557686,1.3451561,2.5223727
0.0844226,0.007367874,0.09712941,0.59904283,1.0103935,1.3960898,0.619197,7.432111,5.3741827,4.4298663,7.434448,2.2441943,3.1634388,3.8144133,2.257924
0.13349514,0.016634738,0.30562428,1.243649,1.0101672,1.3362219,1.2145747,5.693845,5.593323,5.8432527,5.7349496,0.8462982,2.9155264,3.791747,0.89397657
0.08601155,0.0075290455,0.17023364,0.79235786,1.0271763,1.5870837,0.77611923,2.8301275,5.7080708,6.0116477,2.8377872,3.0445719,3.5971277,2.5343058,3.042121
0.24562007,0.061156437,0.28009236,1.4584496,1.0210906,1.551847,1.27021,8.889417,5.473526,8.386448,8.852982,2.1403117,3.321384,3.4063933,2.070452
0.12438171,0.017006416,0.14891398,0.52520466,1.0161604,1.2188256,0.53105724,8.886419,5.2935023,6.661685,8.833885,4.0549026,3.3746552,0.77548397,4.0583534
0.13564864,0.018042501,0.2591503,1.0644503,1.0096409,1.4682722,1.0259149,3.0906057,5.4391756,5.684468,3.1262395,5.141581,3.087194,2.3778656,5.0368757
0.15115204,0.022295883,0.33482546,1.2037977,1.0052962,1.6151583,1.1982998,9.855691,5.2749767,2.470018,9.810924,1.3099765,3.1319506,2.6153705,1.3322761
0.14142777,0.022406297,0.17560655,0.93083626,1.0230968,1.5576074,0.9415279,6.801035,5.5694685,6.1013584,6.8306217,2.5068567,3.5981476,0.40254593,2.481218
0.22384177,0.048317075,0.298216,1.465273,1.0230043,1.6067121,1.3857635,4.657693,5.6039257,5.2137423,4.653659,1.2898626,3.528466,1.1313956,1.2920281
0.14978307,0.02314029,0.18457803,0.79966414,1.003749,1.7997899,0.8637811,2.4356678,5.4046593,1.8657689,2.3972156,1.51451,3.191325,4.1337137,1.529276
0.086203754,0.0069390917,0.1104875,0.5235437,1.0189146,1.4391187,0.5397432,9.580261,5.726671,7.1114616,9.583094,3.6576593,3.359499,5.93194,3.6255999
0.13385938,0.017233124,0.25283054,1.1843839,0.99853855,1.6332328,1.1498303,5.662489,5.4867797,4.870668,5.639161,5.790342,2.8778298,3.2995744,5.6801043
0.1767723,0.030838473,0.22099212,1.0145509,0.99551445,1.5395525,1.0246034,8.380629,5.5105653,9.126921,8.372316,2.3601038,2.6916668,3.959623,2.3086772
0.18389457,0.033229467,0.22475657,1.1083646,1.0086384,1.6444567,1.1272414,5.085358,5.4892135,2.486444,5.1330347,3.0361211,2.967104,2.6914907,3.0335953
0.15620214,0.023716418,0.2339498,1.052643,1.0219882,1.4311444,1.0769806,1.5328028,5.637928,3.5917854,1.5008361,1.6876518,3.323512,4.7594004,1.6645523
0.14827792,0.022009132,0.31136104,1.2199957,1.0038443,1.4803689,1.1824377,7.80484,5.319004,2.3082395,7.8034973,0.5966287,2.9684062,2.910181,0.6953436
0.13671808,0.019961633,0.21858658,0.9734657,1.0160804,1.5013183,0.9967391,2.408162,5.4621263,4.3190928,2.4249334,3.7460413,3.1283026,-0.18344426,3.7127335
0.07213984,0.00535342,0.096239224,0.568268,1.0138148,1.419546,0.5846492,3.3089912,5.5956264,4.7792683,3.3627982,0.27208176,3.0016055,1.9279144,0.23527431
0.06741712,0.0046598422,0.10941169,0.55775625,0.9995145,1.5241034,0.6138617,9.816241,5.5762153,4.6390963,9.823946,0.57977027,2.8216746,2.8329492,0.54231906
0.063845605,0.0040810658,0.08624223,0.5301848,1.023888,1.4448905,0.5417253,9.173341,5.653237,5.0662394,9.128639,4.5965757,3.2210343,4.3973966,4.516771
0.23777266,0.051749118,0.22371867,1.4643229,0.9652977,1.6537715,1.3402553,4.0780478,5.211922,3.7963455,4.0971894,0.28477865,2.399224,3.7708344,0.28500867
0.19239253,0.04089126,0.3830641,1.4564835,1.0194957,1.5182014,1.3805933,1.4816298,5.528978,4.8227305,1.5707238,0.8706361,3.1503375,2.4061542,0.86848366
0.13275135,0.017377159,0.2063471,0.8884323,1.0032827,1.5007544,0.9724975,2.2020853,5.400337,3.802095,2.2269,0.11788084,2.9268348,3.5091596,0.0024738312
0.19940522,0.037256993,0.3031422,1.1715602,1.0215739,1.5109847,1.1242689,3.1825366,5.6661,6.0313177,3.1716256,5.415853,3.5187745,2.2608974,5.3553433
0.12862082,0.015015956,0.097600944,0.5529519,1.0207486,1.2444967,0.5984451,8.606263,5.4932218,8.446645,8.624474,6.040098,3.4380126,2.040989,5.9822865
0.14158313,0.020954734,0.29382193,1.206986,1.0054699,1.545083,1.2534643,9.426365,5.47595,4.858002,9.562797,5.6657276,3.0875106,3.2893608,5.5051975
0.19974089,0.039887577,0.24184947,0.95620984,0.99739313,1.4213176,0.94396067,5.930628,5.2549706,5.209139,6.006661,2.621245,2.94875,4.661336,2.5811467
0.11896219,0.01437825,0.2503641,0.99863076,1.0114347,1.562815,0.9948586,6.357024,5.462767,6.189874,6.441241,2.1503775,3.12615,0.97203374,2.1024253
0.07833698,0.0065881815,0.11989009,0.60147464,1.0288129,1.4394213,0.6516671,2.1731606,5.646403,6.663887,2.3288324,0.07024779,3.3005002,3.3205464,0.47332358
0.16236866,0.024226822,0.20016281,0.89078605,1.0020094,1.7785869,0.98336136,2.0200405,5.3728595,6.0283413,2.0737936,0.341186,3.185032,1.7744225,0.35816073
0.084588,0.006756243,0.12012371,0.6826331,1.0023364,1.4723053,0.70942605,1.8997409,5.3415203,3.723341,1.8083222,5.6248574,2.9501631,3.6606994,5.559272
0.10987852,0.012149128,0.09502879,0.50648546,1.020585,1.2984657,0.5684577,2.9828417,5.6031995,7.405754,2.8253698,5.9876385,3.074331,4.3911066,5.9590845
0.14535269,0.02235054,0.17207196,0.9129387,1.0193683,1.3604078,1.0104685,4.6851063,5.5806956,5.986972,4.708687,4.1331167,3.3025603,3.7234378,4.0258656
0.13097066,0.017172502,0.1236524,0.6042094,1.0149204,1.3116009,0.70633596,3.0473177,5.4029512,5.621474,2.9638145,6.01077,3.5432825,1.1331277,5.9527254
0.2187379,0.045254026,0.1784424,0.68536407,1.0118446,1.2120273,0.66250485,7.906849,5.5858803,7.0327773,7.8489957,3.3182993,3.0814073,4.857294,3.3466656
0.11632129,0.013922643,0.14826673,0.8076936,1.021485,1.4193181,0.8282389,7.051041,5.6646805,5.401361,7.098502,0.5091904,3.391651,1.8746144,0.5383215
0.11422386,0.013930683,0.24309847,0.9533255,1.010806,1.5958471,1.0517228,9.518758,5.374774,3.7703958,9.479099,1.2505116,3.10963,2.8853452,1.2463099
0.082075305,0.0076122135,0.1734612,0.74080384,1.0087845,1.622158,0.8107491,8.06357,5.3403845,5.424249,8.036104,3.1939578,3.6079006,0.5519217,3.1660542
0.22383696,0.0537182,0.2920418,1.4526553,1.0087608,1.4571611,1.3580832,8.122998,5.48467,8.471802,8.150471,0.91033876,3.342447,0.77565587,1.0165262
0.23989367,0.05481393,0.31395185,1.4192963,0.98289335,1.5873003,1.3204589,6.8306527,5.441844,5.7038927,6.8162575,0.3429379,2.5291538,4.128824,0.36753774
0.098318145,0.010228026,0.14745924,0.74837947,1.0168097,1.5312521,0.82850593,1.3555709,5.573649,3.875226,1.3447855,0.28523842,3.3561954,1.8619223,0.35951376
0.13824923,0.020605404,0.23260957,0.9487319,1.002484,1.552387,0.76432544,7.1858406,5.4090743,6.319652,7.4039516,0.77517575,3.5481982,2.1847162,0.87173307
0.12204603,0.014255906,0.25366932,1.1074042,1.0141618,1.4740028,1.2327442,7.596511,5.491087,7.089136,7.5491257,4.0889764,3.0802274,0.3185196,4.1539526
0.09136513,0.009422563,0.15324363,0.68638355,1.0230621,1.4173052,0.680957,1.1518427,5.667152,3.4241996,1.1275306,4.69415,3.5584707,2.0836203,4.644917
0.253579,0.057814732,0.21897899,1.1283199,1.0072128,1.1433977,1.1296598,8.454689,5.529899,7.3816257,8.453901,2.7277508,2.959238,5.0355864,2.7272618
0.12128972,0.014893949,0.14884807,0.920535,1.0152371,1.2601564,0.90935975,2.4508338,5.4273825,3.0978775,2.4431102,5.6757326,3.4948056,2.3120947,5.671667
0.050612584,0.0025532958,0.09114443,0.53106445,1.0112247,1.4903886,0.5533899,7.0645943,5.532446,4.6162853,7.026359,3.07999,2.8901372,4.073831,3.0560555
0.08724453,0.007323257,0.1816504,0.75692034,1.0181454,1.6772223,0.7598936,4.221943,5.5787582,7.898986,4.236068,3.1997333,3.1948786,3.3738046,3.2386017
0.1109124,0.013059588,0.14368494,0.6833017,1.0239888,1.4666576,0.67934275,9.786577,5.640949,5.152831,9.690582,4.2937193,3.4760122,0.8518479,4.2710376
0.1445484,0.019575367,0.31038067,1.3228012,1.0153328,1.5391619,1.1965213,7.465481,5.5046024,7.684264,7.505519,1.8192993,3.2509193,4.8706374,1.8073742
