snr_gt,snr_raw,snr_denoised,amplitude_true,amplitude_raw,amplitude_denoised,amplitude_signal,frequency_hz_true,frequency_hz_raw,frequency_hz_denoised,frequency_hz_signal,phase_rad_true,phase_rad_raw,phase_rad_denoised,phase_rad_signal
0.17864197,0.031492237,1.2976111,1.0738392,1.0100698,0.35680622,1.0777969,3.8559415,5.5732393,5.193396,3.9089546,2.5414557,3.557686,2.1848078,2.5223727
0.0844226,0.007367874,0.9744728,0.59904283,1.0103935,0.35779196,0.619197,7.432111,5.3741827,6.415694,7.434448,2.2441943,3.1634388,1.329578,2.257924
0.13349514,0.016634738,1.0605266,1.243649,1.0101672,0.36198908,1.2145747,5.693845,5.593323,5.0645123,5.7349496,0.8462982,2.9155264,1.2485526,0.89397657
0.08601155,0.0075290455,1.0368859,0.79235786,1.0271763,0.28720665,0.77611923,2.8301275,5.7080708,8.478876,2.8377872,3.0445719,3.5971277,3.5529237,3.042121
0.24562007,0.061156437,1.2328756,1.4584496,1.0210906,0.3485182,1.27021,8.889417,5.473526,8.332266,8.852982,2.1403117,3.321384,4.5616317,2.070452
0.12438171,0.017006416,0.848384,0.52520466,1.0161604,0.2865126,0.53105724,8.886419,5.2935023,4.8477774,8.833885,4.0549026,3.3746552,4.0247498,4.0583534
0.13564864,0.018042501,1.0394732,1.0644503,1.0096409,0.18024415,1.0259149,3.0906057,5.4391756,5.363181,3.1262395,5.141581,3.087194,4.548253,5.0368757
0.15115204,0.022295883,0.9585031,1.2037977,1.0052962,0.3835727,1.1982998,9.855691,5.2749767,3.011704,9.810924,1.3099765,3.1319506,2.181366,1.3322761
0.14142777,0.022406297,1.317884,0.93083626,1.0230968,0.44872808,0.9415279,6.801035,5.5694685,7.11994,6.8306217,2.5068567,3.5981476,3.6366355,2.481218
0.22384177,0.048317075,1.2878168,1.465273,1.0230043,0.4273727,1.3857635,4.657693,5.6039257,4.132036,4.653659,1.2898626,3.528466,3.6916146,1.2920281
0.14978307,0.02314029,1.0904295,0.79966414,1.003749,0.409827,0.8637811,2.4356678,5.4046593,6.003455,2.3972156,1.51451,3.191325,1.9678695,1.529276
0.086203754,0.0069390917,0.8431315,0.5235437,1.0189146,0.38218004,0.5397432,9.580261,5.726671,7.5797663,9.583094,3.6576593,3.359499,2.3047655,3.6255999
0.13385938,0.017233124,1.1328567,1.1843839,0.99853855,0.42526782,1.1498303,5.662489,5.4867797,5.117831,5.639161,5.790342,2.8778298,0.57494724,5.6801043
0.1767723,0.030838473,1.2003059,1.0145509,0.99551445,0.46317756,1.0246034,8.380629,5.5105653,8.93807,8.372316,2.3601038,2.6916668,0.92584455,2.3086772
0.18389457,0.033229467,1.2239538,1.1083646,1.0086384,0.25166106,1.1272414,5.085358,5.4892135,5.12932,5.1330347,3.0361211,2.967104,2.7761335,3.0335953
0.15620214,0.023716418,1.0082686,1.052643,1.0219882,0.38973594,1.0769806,1.5328028,5.637928,3.4119368,1.5008361,1.6876518,3.323512,1.7582115,1.6645523
0.14827792,0.022009132,0.9991143,1.2199957,1.0038443,0.25736517,1.1824377,7.80484,5.319004,4.273202,7.8034973,0.5966287,2.9684062,4.6342564,0.6953436
0.13671808,0.019961633,0.99850833,0.9734657,1.0160804,0.47202128,0.9967391,2.408162,5.4621263,2.7035427,2.4249334,3.7460413,3.1283026,2.641725,3.7127335
0.07213984,0.00535342,0.98338646,0.568268,1.0138148,0.2186063,0.5846492,3.3089912,5.5956264,4.503594,3.3627982,0.27208176,3.0016055,4.236576,0.23527431
0.06741712,0.0046598422,0.87368053,0.55775625,0.9995145,0.27397454,0.6138617,9.816241,5.5762153,5.0034027,9.823946,0.57977027,2.8216746,5.460849,0.54231906
0.063845605,0.0040810658,0.855503,0.5301848,1.023888,0.47003227,0.5417253,9.173341,5.653237,3.6073115,9.128639,4.5965757,3.2210343,2.0751722,4.516771
0.23777266,0.051749118,3.0943706,1.4643229,0.9652977,0.60573995,1.3402553,4.0780478,5.211922,4.5205874,4.0971894,0.28477865,2.399224,1.3346218,0.28500867
0.19239253,0.04089126,1.004006,1.4564835,1.0194957,0.30217993,1.3805933,1.4816298,5.528978,6.0650992,1.5707238,0.8706361,3.1503375,4.734746,0.86848366
0.13275135,0.017377159,1.0569977,0.8884323,1.0032827,0.38400853,0.9724975,2.2020853,5.400337,3.3389153,2.2269,0.11788084,2.9268348,1.506779,0.0024738312
